"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","year","price","pp"
"2386","FDU24",6.78,"Regular",0.140955857,"Baking Goods",92.212,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4101.328,9,12.997821485684,116.980393371156
"2387","FDX11",16,"Regular",0.107186944,"Baking Goods",181.9634,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3453.5046,7,19.5041007658496,136.528705360947
"2388","FDF35",15,"Low Fat",0.153960209,"Starchy Foods",105.9938,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1179.1318,12,16.3188276007042,195.82593120845
"2389","NCC43",7.39,"Low Fat",0.093160853,"Household",251.3066,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1004.0264,7,23.4119372205298,163.883560543709
"2390","FDG29",17.6,"Low Fat",0.05629192,"Frozen Foods",42.5454,"OUT046",1997,"Small","Tier 1","Supermarket Type1",419.454,19,2.394962253168,45.504282810192
"2391","FDS44",12.65,"Regular",0.15604396,"Fruits and Vegetables",239.6538,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3845.6608,19,37.396527981048,710.534031639912
"2392","FDZ10",17.85,"Low Fat",0.044463491,"Snack Foods",127.102,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2024.032,19,5.651398633082,107.376574028558
"2393","FDC52",11.15,"Regular",0.00827301,"Dairy",150.4708,"OUT013",1987,"High","Tier 3","Supermarket Type1",1956.1204,29,1.244846433108,36.100546560132
"2394","DRL35",15.7,"low fat",0.030697825,"Hard Drinks",42.877,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1168.479,12,1.316230642525,15.7947677103
"2395","NCP55",14.65,"Low Fat",0,"Others",56.4614,"OUT010",1998,"Small","Tier 3","Grocery Store",55.2614,18,0,0
"2397","FDL44",18.25,"Low Fat",0.012300013,"Fruits and Vegetables",160.4894,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3073.9986,14,1.9740217063622,27.6363038890708
"2398","FDZ47",20.7,"Regular",0,"Baking Goods",98.7042,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1884.8798,9,0,0
"2399","FDT45",15.85,"Low Fat",0.057313443,"Snack Foods",53.3956,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1364.89,19,3.0602856770508,58.1454278639652
"2400","FDN23",6.575,"Regular",0.075625152,"Breads",145.7444,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3193.1768,17,11.0219424031488,187.37302085353
"2401","NCP43",17.75,"Low Fat",0.030568919,"Others",177.866,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2336.958,14,5.437171346854,76.120398855956
"2405","FDF56",16.7,"Regular",0.120137953,"Fruits and Vegetables",181.2976,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3078.6592,9,21.7807225478128,196.026502930315
"2406","NCN26",10.85,"Low Fat",0.028679894,"Household",115.1808,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2109.2544,19,3.3033731348352,62.7640895618688
"2407","FDD22",10,"Low Fat",0.099804623,"Snack Foods",113.7544,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3243.7776,17,11.3532150065912,193.00465511205
"2408","FDU15",13.65,"Regular",0.044526443,"Meat",37.9532,"OUT010",1998,"Small","Tier 3","Grocery Store",71.9064,18,1.6899209964676,30.4185779364168
"2409","FDB41",19,"Regular",0.162882227,"Frozen Foods",46.8718,"OUT010",1998,"Small","Tier 3","Grocery Store",189.0872,18,7.6345831674986,137.422497014975
"2410","FDZ35",9.6,"Regular",0.022404493,"Breads",102.499,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2579.975,9,2.296438128007,20.667943152063
"2411","FDT60",12,"Low Fat",0.075975642,"Baking Goods",124.1388,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1486.0656,9,9.4315250271096,84.8837252439864
"2412","FDE51",5.925,"Regular",0.09644909,"Dairy",43.8086,"OUT035",2004,"Small","Tier 2","Supermarket Type1",312.2602,12,4.225299604174,50.703595250088
"2413","NCQ06",13,"Low Fat",0.041816615,"Household",254.5014,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4845.0266,12,10.642387060761,127.708644729132
"2414","FDS28",8.18,"Regular",0.082867689,"Frozen Foods",58.5588,"OUT017",2007,"Small","Tier 2","Supermarket Type1",171.7764,9,4.8526324266132,43.6736918395188
"2415","FDH32",12.8,"Low Fat",0.076214289,"Fruits and Vegetables",96.541,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1834.279,14,7.357803674349,103.009251440886
"2416","FDW37",19.2,"Low Fat",0.124301968,"Canned",89.7488,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2082.6224,14,11.1559524656384,156.183334518938
"2417","FDY33",14.5,"Regular",0.097201128,"Snack Foods",159.4262,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2705.1454,19,15.4964064727536,294.431722982318
"2418","FDF17",5.19,"Low Fat",0.042861968,"Frozen Foods",196.811,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3731.809,9,8.435706784048,75.921361056432
"2419","FDG56",13.3,"Regular",0.0713931,"Fruits and Vegetables",61.0536,"OUT013",1987,"High","Tier 3","Supermarket Type1",1592.5936,29,4.35880577016,126.40536733464
"2420","NCB18",19.6,"Low Fat",0.041256807,"Household",88.8514,"OUT013",1987,"High","Tier 3","Supermarket Type1",2125.2336,29,3.6657250614798,106.306026782914
"2421","FDU14",17.75,"Low Fat",0.034746076,"Dairy",248.275,"OUT035",2004,"Small","Tier 2","Supermarket Type1",998.7,12,8.6265820189,103.5189842268
"2422","FDU22",12.35,"Low Fat",0.093441604,"Snack Foods",119.1124,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3673.8844,17,11.1300537122896,189.210913108923
"2423","NCV41",14.35,"Low Fat",0.017024598,"Health and Hygiene",109.8228,"OUT013",1987,"High","Tier 3","Supermarket Type1",2099.9332,29,1.8696890212344,54.2209816157976
"2424","FDY52",6.365,"Low Fat",0.007363189,"Frozen Foods",63.2536,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1225.072,14,0.4657482117304,6.5204749642256
"2427","NCP53",14.75,"Low Fat",0.032862976,"Health and Hygiene",238.6906,"OUT013",1987,"High","Tier 3","Supermarket Type1",4278.4308,29,7.8440834592256,227.478420317542
"2428","FDC17",12.15,"Low Fat",0.015484763,"Frozen Foods",211.9928,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",631.1784,17,3.2826582657064,55.8051905170088
"2429","NCZ30",6.59,"Low Fat",0.026163192,"Household",121.5098,"OUT013",1987,"High","Tier 3","Supermarket Type1",602.549,29,3.1790842272816,92.1934425911664
"2430","FDK03",12.6,"Regular",0.073920438,"Dairy",255.6356,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2797.6916,19,18.8966955203928,359.037214887463
"2435","FDI56",7.325,"Low Fat",0.093307668,"Fruits and Vegetables",92.7146,"OUT013",1987,"High","Tier 3","Supermarket Type1",2006.7212,29,8.6509831155528,250.878510351031
"2437","FDF29",15.1,"Regular",0.019965179,"Frozen Foods",130.531,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",908.817,17,2.606074780049,44.303271260833
"2439","FDI10",8.51,"reg",0.078339081,"Snack Foods",172.9422,"OUT013",1987,"High","Tier 3","Supermarket Type1",1379.5376,29,13.5481330141182,392.895857409428
"2441","FDA27",20.35,"Regular",0.031102571,"Dairy",257.2672,"OUT017",2007,"Small","Tier 2","Supermarket Type1",2045.3376,9,8.0016713539712,72.0150421857408
"2442","NCR41",17.85,"Low Fat",0.018097419,"Health and Hygiene",96.9094,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1332.9316,7,1.7538100168386,12.2766701178702
"2443","FDR09",18.25,"Low Fat",0.078041216,"Snack Foods",258.4962,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2848.9582,7,20.1733577793792,141.213504455654
"2444","NCB06",17.6,"Low Fat",0.08226356,"Health and Hygiene",160.492,"OUT013",1987,"High","Tier 3","Supermarket Type1",1278.336,29,13.20264327152,382.87665487408
"2445","FDE53",10.895,"Low Fat",0.026880159,"Frozen Foods",106.428,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1491.392,19,2.860801562052,54.355229678988
"2446","DRE27",11.85,"Low Fat",0.222063351,"Dairy",99.6726,"OUT010",1998,"Small","Tier 3","Grocery Store",195.7452,18,22.1336315588826,398.405368059887
"2448","FDL56",14.1,"Low Fat",0.126292985,"Fruits and Vegetables",88.6198,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1133.8574,7,11.192059072103,78.344413504721
"2449","FDT09",15.15,"Regular",0.012260981,"Snack Foods",131.7284,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1186.4556,12,1.6151194095604,19.3814329147248
"2450","DRH03",17.25,"Low Fat",0.05869048,"Dairy",91.612,"OUT010",1998,"Small","Tier 3","Grocery Store",93.212,18,5.37675225376,96.78154056768
"2451","NCQ53",17.6,"Low Fat",0.018982338,"Health and Hygiene",237.059,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2836.308,7,4.499934063942,31.499538447594
"2452","NCT18",14.6,"Low Fat",0.059405152,"Household",179.6976,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3621.952,19,10.6749632420352,202.824301598669
"2453","FDL43",10.1,"Low Fat",0.027059264,"Meat",76.467,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1761.041,12,2.069140740288,24.829688883456
"2454","FDJ53",10.5,"Low Fat",0.071244438,"Frozen Foods",119.2098,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1325.6078,12,8.4930352050924,101.916422461109
"2455","NCQ02",12.6,"Low Fat",0.007455054,"Household",186.9556,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3942.8676,12,1.3937640936024,16.7251691232288
"2456","NCJ05",18.7,"Low Fat",0.046088273,"Health and Hygiene",153.6682,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3506.7686,19,7.0823019530186,134.563737107353
"2457","FDT40",5.985,"LF",0.096185556,"Frozen Foods",127.1678,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3560.6984,7,12.2317055482968,85.6219388380776
"2458","FDA48",12.1,"Low Fat",0.11487406,"Baking Goods",221.4114,"OUT046",1997,"Small","Tier 1","Supermarket Type1",5099.3622,19,25.434426448284,483.254102517396
"2459","FDV37",13,"Regular",0.083643716,"Canned",196.0426,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2570.6538,17,16.3977315583016,278.761436491127
"2460","FDX07",19.2,"Regular",0.022965292,"Fruits and Vegetables",181.695,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2563.33,14,4.17267872994,58.41750221916
"2461","DRG48",5.78,"Low Fat",0.014584584,"Soft Drinks",146.3102,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2187.153,14,2.1338734019568,29.8742276273952
"2462","FDF44",7.17,"Regular",0.059716729,"Fruits and Vegetables",130.9968,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2348.9424,12,7.8227004054672,93.8724048656064
"2463","FDS24",20.85,"Regular",0.062224479,"Baking Goods",88.1514,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1682.4766,19,5.4851749381206,104.218323824291
"2464","NCQ50",18.75,"Low Fat",0.034360687,"Household",215.7218,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4274.436,17,7.4123492488766,126.009937230902
"2465","FDT25",7.5,"Low Fat",0.050708743,"Canned",123.4072,"OUT013",1987,"High","Tier 3","Supermarket Type1",3185.1872,29,6.2578239891496,181.476895685338
"2466","FDO03",10.395,"Regular",0.036957777,"Meat",230.5352,"OUT045",2002,"Small","Tier 2","Supermarket Type1",4580.704,14,8.5200685122504,119.280959171506
"2467","FDJ55",12.8,"Regular",0.023530953,"Meat",223.5404,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1800.3232,19,5.2601186460012,99.9422542740228
"2468","FDM36",11.65,"Regular",0.058681957,"Baking Goods",170.4422,"OUT013",1987,"High","Tier 3","Supermarket Type1",517.3266,29,10.0018818513854,290.054573690177
"2469","FDM21",20.2,"Low Fat",0.064728148,"Snack Foods",258.0646,"OUT017",2007,"Small","Tier 2","Supermarket Type1",5668.6212,9,16.7040436223608,150.336392601247
"2470","FDK58",11.35,"Regular",0,"Snack Foods",103.0016,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2125.2336,12,0,0
"2471","FDD26",8.71,"Regular",0.120773451,"Canned",186.5924,"OUT010",1998,"Small","Tier 3","Grocery Store",555.2772,18,22.5354080783724,405.637345410703
"2472","FDW57",8.31,"Regular",0.115911972,"Snack Foods",177.3028,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1948.1308,14,20.5515171891216,287.721240647702
"2473","FDT32",19,"Regular",0.10985775,"Fruits and Vegetables",188.8214,"OUT010",1998,"Small","Tier 3","Grocery Store",188.4214,18,20.74349415585,373.3828948053
"2474","FDT25",7.5,"Low Fat",0.050853901,"Canned",121.7072,"OUT045",2002,"Small","Tier 2","Supermarket Type1",367.5216,14,6.1892858997872,86.6500025970208
"2475","NCB19",6.525,"Low Fat",0.090295708,"Household",84.6882,"OUT046",1997,"Small","Tier 1","Supermarket Type1",601.2174,19,7.6469809782456,145.292638586666
"2478","FDO39",6.985,"Regular",0.137580452,"Meat",182.8608,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4042.7376,17,25.1580715170816,427.687215790387
"2479","NCV06",11.3,"Low Fat",0.066816565,"Household",192.2478,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1356.2346,14,12.845337624807,179.834726747298
"2480","DRB13",6.115,"Regular",0.01179078,"Soft Drinks",189.053,"OUT010",1998,"Small","Tier 3","Grocery Store",948.765,18,2.22908233134,40.12348196412
"2481","FDX51",9.5,"Regular",0.036921781,"Meat",194.2452,"OUT010",1998,"Small","Tier 3","Grocery Store",782.9808,18,7.1718787347012,129.093817224622
"2482","FDC38",15.7,"Low Fat",0.122742389,"Canned",134.2942,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1192.4478,14,16.4835909368438,230.770273115813
"2483","FDD04",16,"Low Fat",0.089971292,"Dairy",143.2154,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1701.7848,19,12.8852745722968,244.820216873639
"2484","FDC05",13.1,"Regular",0.099186992,"Frozen Foods",198.7768,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",3153.2288,7,19.7160728713856,138.012510099699
"2486","FDL22",16.85,"low fat",0.036596012,"Snack Foods",90.6488,"OUT017",2007,"Small","Tier 2","Supermarket Type1",633.8416,9,3.3173845725856,29.8564611532704
"2488","FDV22",14.85,"Regular",0.016635488,"Snack Foods",157.563,"OUT010",1998,"Small","Tier 3","Grocery Store",312.926,18,2.621137395744,47.180473123392
"2489","FDP07",18.2,"Low Fat",0.090084098,"Fruits and Vegetables",197.211,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3142.576,14,17.765575050678,248.718050709492
"2490","FDK27",11,"Low Fat",0.008960445,"Meat",119.1756,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",1696.4584,17,1.067866409142,18.153728955414
"2491","FDP31",21.1,"Regular",0.162418495,"Fruits and Vegetables",64.9168,"OUT017",2007,"Small","Tier 2","Supermarket Type1",639.168,9,10.543688956216,94.893200605944
"2492","NCI54",15.2,"Low Fat",0.056237906,"Household",110.7912,"OUT010",1998,"Small","Tier 3","Grocery Store",109.1912,18,6.2306650912272,112.15197164209
"2494","NCO07",9.06,"Low Fat",0.009791467,"Others",213.256,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",4687.232,17,2.088089086552,35.497514471384
"2495","FDN31",11.5,"Low Fat",0.072820885,"Fruits and Vegetables",191.253,"OUT013",1987,"High","Tier 3","Supermarket Type1",3036.048,29,13.927212718905,403.889168848245
"2496","NCO02",11.15,"Low Fat",0.073354286,"Others",66.8142,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2372.9112,12,4.9011079356612,58.8132952279344
"2497","FDQ26",13.5,"Regular",0.068010049,"Dairy",57.2562,"OUT045",2002,"Small","Tier 2","Supermarket Type1",770.3306,14,3.8939969675538,54.5159575457532
"2498","FDQ07",15.1,"Regular",0.087406863,"Fruits and Vegetables",221.8456,"OUT046",1997,"Small","Tier 1","Supermarket Type1",663.1368,19,19.3908279663528,368.425731360703
"2499","FDB49",8.3,"Regular",0.030198228,"Baking Goods",98.2384,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2167.8448,17,2.9666256015552,50.4326352264384
"2500","FDY44",14.15,"Regular",0.024442501,"Fruits and Vegetables",196.411,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2749.754,17,4.800776063911,81.613193086487
"2502","FDV44",8.365,"Regular",0.039844429,"Fruits and Vegetables",190.1188,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1904.188,19,7.5751750281652,143.928325535139
"2503","FDI48",11.85,"Regular",0.055805027,"Baking Goods",53.0666,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",512.666,17,2.9613830457982,50.3435117785694
"2504","NCL05",19.6,"Low Fat",0.047888606,"Health and Hygiene",42.277,"OUT035",2004,"Small","Tier 2","Supermarket Type1",605.878,12,2.024586595862,24.295039150344
"2505","FDT32",19,"Regular",0.065735977,"Fruits and Vegetables",189.6214,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2826.321,17,12.4649479891078,211.904115814833
"2506","FDM10",18.25,"Low Fat",0.076089711,"Snack Foods",212.9218,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",3846.9924,17,16.2011582275998,275.419689869197
"2507","FDS21",19.85,"Regular",0.020908608,"Snack Foods",63.5194,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",557.2746,17,1.3281022349952,22.5777379949184
"2508","FDD11",12.85,"Low Fat",0.030678825,"Starchy Foods",251.704,"OUT045",2002,"Small","Tier 2","Supermarket Type1",3542.056,14,7.7219829678,108.1077615492
"2510","FDO58",19.6,"Low Fat",0.039738393,"Snack Foods",163.7526,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",2960.1468,7,6.5072651735718,45.5508562150026
"2511","FDQ08",15.7,"Regular",0.01903743,"Fruits and Vegetables",60.5536,"OUT017",2007,"Small","Tier 2","Supermarket Type1",490.0288,9,1.152784921248,10.375064291232
"2512","FDT28",13.3,"Low Fat",0.06356617,"Frozen Foods",151.3708,"OUT046",1997,"Small","Tier 1","Supermarket Type1",3611.2992,19,9.622062005836,182.819178110884
"2513","FDT22",10.395,"Low Fat",0.112553853,"Snack Foods",59.022,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1378.206,7,6.643153511766,46.502074582362
"2514","FDB58",10.5,"Regular",0.013493914,"Snack Foods",143.7154,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3119.9388,12,1.9392832480756,23.2713989769072
"2515","FDN45",19.35,"Low Fat",0.118102769,"Snack Foods",224.8088,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2013.3792,19,26.5505417755672,504.460293735777
"2516","FDZ45",14.1,"Low Fat",0.06682033,"Snack Foods",198.9084,"OUT013",1987,"High","Tier 3","Supermarket Type1",4761.8016,29,13.291124927772,385.442622905388
"2517","FDJ38",8.6,"Regular",0.040205535,"Canned",188.753,"OUT046",1997,"Small","Tier 1","Supermarket Type1",7590.12,19,7.588915347855,144.189391609245
"2518","NCT06",17.1,"Low Fat",0.038816115,"Household",166.4842,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1326.2736,14,6.462269852883,90.471777940362
"2520","NCP30",20.5,"Low Fat",0.032819637,"Household",38.9822,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",982.055,17,1.2793816534614,21.7494881088438
"2521","FDR27",15.1,"Regular",0.096249842,"Meat",134.4942,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",2119.9072,17,12.9450454999164,220.065773498579
"2522","FDW39",6.69,"Regular",0,"Meat",176.937,"OUT017",2007,"Small","Tier 2","Supermarket Type1",4234.488,9,0,0
"2524","FDK21",7.905,"Low Fat",0.010003987,"Snack Foods",250.7408,"OUT013",1987,"High","Tier 3","Supermarket Type1",5757.8384,29,2.5084077035696,72.7438234035184
"2525","FDJ04",18,"Low Fat",0.124452048,"Frozen Foods",118.5124,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1303.6364,19,14.7491108933952,280.233106974509
"2526","FDZ13",7.84,"Regular",0.154363209,"Canned",50.835,"OUT017",2007,"Small","Tier 2","Supermarket Type1",599.22,9,7.847053729515,70.623483565635
"2527","FDS16",15.15,"Regular",0.066551268,"Frozen Foods",144.676,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3954.852,9,9.628371249168,86.655341242512
"2528","FDD56",15.2,"Regular",0.173703549,"Fruits and Vegetables",175.8054,"OUT010",1998,"Small","Tier 3","Grocery Store",1050.6324,18,30.5380219133646,549.684394440563
"2529","FDI57",19.85,"Low Fat",0.054025644,"Seafood",197.2768,"OUT046",1997,"Small","Tier 1","Supermarket Type1",6503.5344,19,10.6580061662592,202.502117158925
"2531","FDI56",7.325,"Low Fat",0.093385381,"Fruits and Vegetables",91.3146,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1641.8628,19,8.5274487118626,162.021525525389
"2532","NCT42",5.88,"Low Fat",0.024937792,"Household",148.4392,"OUT045",2002,"Small","Tier 2","Supermarket Type1",2087.9488,14,3.7017458942464,51.8244425194496
"2533","FDM25",10.695,"Regular",0.060654268,"Breakfast",174.7712,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3339.6528,12,10.6006192034816,127.207430441779
"2535","NCY30",20.25,"LF",0.025953257,"Household",179.5976,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2535.3664,19,4.6611426693832,88.5617107182808
"2536","FDD44",8.05,"Regular",0.07884393,"Fruits and Vegetables",257.0646,"OUT017",2007,"Small","Tier 2","Supermarket Type1",8760.5964,9,20.267983327878,182.411849950902
"2537","FDK45",11.65,"Low Fat",0.033851785,"Seafood",112.186,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1018.674,12,3.79769635201,45.57235622412
"2538","FDN45",19.35,"Low Fat",0.118342285,"Snack Foods",222.6088,"OUT045",2002,"Small","Tier 2","Supermarket Type1",1789.6704,14,26.344034053108,368.816476743512
"2539","FDQ09",7.235,"Low Fat",0.058121214,"Snack Foods",115.8834,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1382.2008,12,6.7352838904476,80.8234066853712
"2540","FDC17",12.15,"Low Fat",0.015457803,"Frozen Foods",209.9928,"OUT035",2004,"Small","Tier 2","Supermarket Type1",5259.82,12,3.2460273338184,38.9523280058208
"2541","FDD45",8.615,"low fat",0.116152226,"Fruits and Vegetables",94.1436,"OUT013",1987,"High","Tier 3","Supermarket Type1",1512.6976,29,10.9349887036536,317.114672405954
"2542","FDD41",6.765,"Regular",0.087260103,"Frozen Foods",105.0306,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2090.612,19,9.1649809741518,174.134638508884
"2543","FDU46",10.3,"Regular",0.0111263,"Snack Foods",87.254,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1211.756,19,0.9708141802,18.4454694238
"2544","FDO45",13.15,"Regular",0.038167453,"Snack Foods",89.4856,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1230.3984,9,3.4154374321768,30.7389368895912
"2545","FDG41",8.84,"Regular",0.076547632,"Frozen Foods",109.5228,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1657.842,12,8.3837109900096,100.604531880115
"2546","DRC13",8.26,"Regular",0,"Soft Drinks",122.573,"OUT045",2002,"Small","Tier 2","Supermarket Type1",739.038,14,0,0
"2547","FDX50",20.1,"Low Fat",0.074931201,"Dairy",108.9228,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",1105.228,7,8.1617162202828,57.1320135419796
"2548","FDK56",9.695,"Low Fat",0,"Fruits and Vegetables",185.1898,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2619.2572,12,0,0
"2549","NCL18",18.85,"Low Fat",0.16758389,"Household",194.6136,"OUT046",1997,"Small","Tier 1","Supermarket Type1",2721.7904,19,32.614104134904,619.667978563176
"2550","FDN57",18.25,"Low Fat",0.054318517,"Snack Foods",140.9154,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",6381.693,17,7.6543155504618,130.123364357851
"2552","NCU17",5.32,"Low Fat",0,"Health and Hygiene",101.7674,"OUT013",1987,"High","Tier 3","Supermarket Type1",1120.5414,29,0,0
"2553","FDL14",8.115,"reg",0.032152786,"Canned",157.3972,"OUT035",2004,"Small","Tier 2","Supermarket Type1",1869.5664,12,5.0607584885992,60.7291018631904
"2554","NCU18",15.1,"Low Fat",0.055840055,"Household",139.8496,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1411.496,19,7.809209355728,148.374977758832
"2555","NCH43",8.42,"Low Fat",0.070968081,"Household",215.9192,"OUT017",2007,"Small","Tier 2","Supermarket Type1",1941.4728,9,15.3233712750552,137.910341475497
"2556","FDH41",9,"Low Fat",0.081996013,"Frozen Foods",216.2534,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4301.068,12,17.7319165976942,212.78299917233
"2557","FDS28",8.18,"Regular",0.082737261,"Frozen Foods",57.3588,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",343.5528,7,4.7457100062468,33.2199700437276
"2559","FDS40",15.35,"Low Fat",0.014047825,"Frozen Foods",36.719,"OUT045",2002,"Small","Tier 2","Supermarket Type1",585.904,14,0.515822086175,7.22150920645
"2560","FDD10",20.6,"Regular",0.045982389,"Snack Foods",177.0344,"OUT013",1987,"High","Tier 3","Supermarket Type1",535.3032,29,8.1404646471816,236.073474768266
"2561","DRQ35",9.3,"Low Fat",0.042256257,"Hard Drinks",124.4388,"OUT013",1987,"High","Tier 3","Supermarket Type1",1609.9044,29,5.2583179135716,152.491219493576
"2562","NCL05",19.6,"Low Fat",0,"Health and Hygiene",42.877,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",649.155,17,0,0
"2563","FDJ48",11.3,"Low Fat",0.056424146,"Baking Goods",247.8118,"OUT035",2004,"Small","Tier 2","Supermarket Type1",2223.1062,12,13.9825691837228,167.790830204674
"2565","FDJ26",15.3,"Regular",0.084749164,"Canned",215.5218,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4060.7142,12,18.2652923737752,219.183508485302
"2566","NCN05",8.235,"Low Fat",0.014541462,"Health and Hygiene",184.495,"OUT017",2007,"Small","Tier 2","Supermarket Type1",3844.995,9,2.68282703169,24.14544328521
"2567","FDK09",15.2,"Low Fat",0.091763303,"Snack Foods",228.5352,"OUT046",1997,"Small","Tier 1","Supermarket Type1",1832.2816,19,20.9711448037656,398.451751271546
"2569","DRF25",9,"Low Fat",0.039004193,"Soft Drinks",37.019,"OUT045",2002,"Small","Tier 2","Supermarket Type1",659.142,14,1.443896220667,20.214547089338
"2570","FDG14",9,"reg",0.05060313,"Canned",150.9024,"OUT045",2002,"Small","Tier 2","Supermarket Type1",4402.2696,14,7.636133764512,106.905872703168
"2571","FDZ31",15.35,"Regular",0.113195815,"Fruits and Vegetables",190.8504,"OUT035",2004,"Small","Tier 2","Supermarket Type1",3643.2576,12,21.603466571076,259.241598852912
"2573","FDC57",20.1,"Regular",0.054584207,"Fruits and Vegetables",193.382,"OUT035",2004,"Small","Tier 2","Supermarket Type1",4247.804,12,10.555603118074,126.667237416888
"2574","FDU46",10.3,"Regular",0.018623146,"Snack Foods",87.854,"OUT010",1998,"Small","Tier 3","Grocery Store",259.662,18,1.636117868684,29.450121636312
