isin,buyvolume,sellvolume
isin3514,1711541.096,2662500
isin3515,3968289.474,10261421.05
isin3516,0,54000
isin3517,324469.5652,366910.7143
isin3518,231324.3243,2961000
isin3519,0,0
isin3520,2713500,1560937.5
isin3521,520630.4348,1869500
isin3522,845709.6774,4761642.857
isin3523,0,16105500
isin3524,392186.4407,1391271.429
isin3525,1863794.118,3231000
isin3526,0,651375
isin3527,1126500,5940000
isin3528,1623375,8491500
isin3529,1484504.587,12075428.57
isin3530,844977.2727,6321857.143
isin3531,4167000,16299000
isin3532,6816294.643,18302142.86
isin3533,0,0
isin3534,0,0
isin3535,0,0
isin3536,0,0
isin3537,0,0
isin3538,2652750,1897714.286
isin3539,0,0
isin3540,0,81000
isin3541,0,54000
isin3542,0,0
isin3543,0,20250
isin3544,0,20250
isin3545,0,0
isin3546,0,132157.8947
isin3547,0,0
isin3548,0,27000
isin3549,0,108000
isin3550,0,0
isin3551,0,110314.2857
isin3552,0,59400
isin3553,0,162000
isin3554,0,207000
isin3555,0,0
isin3556,0,0
isin3557,0,0
isin3558,0,0
isin3559,0,27000
isin3560,0,27000
isin3561,0,72000
isin3562,0,0
isin3563,0,0
isin3564,0,0
isin3565,0,270000
isin3566,0,0
isin3567,0,0
isin3568,0,0
isin3569,0,0
isin3570,81000,142363.6364
isin3571,162000,90000
isin3572,0,0
isin3573,0,0
isin3574,0,27000
isin3575,27000,54000
isin3576,0,135000
isin3577,0,0
isin3578,0,0
isin3579,0,27000
isin3580,0,0
isin3581,0,0
isin3582,0,0
isin3583,0,108000
isin3584,0,0
isin3585,0,0
isin3586,13500,13500
isin3587,27000,54000
isin3588,54000,135000
isin3589,84375,459000
isin3590,0,0
isin3591,0,0
isin3592,0,0
isin3593,0,0
isin3594,0,0
isin3595,0,0
isin3596,0,0
isin3597,0,0
isin3598,0,22275
isin3599,0,0
isin3600,0,13500
isin3601,0,0
isin3602,0,0
isin3603,0,13500
isin3604,0,16200
isin3605,0,0
isin3606,0,0
isin3607,0,0
isin3608,0,0
isin3609,0,0
isin3610,0,0
isin3611,3969000,3969000
isin3612,0,702000
isin3613,1314000,621000
isin3614,229373.8318,208607.1429
isin3615,91852.94118,854608.6957
isin3616,2963250,94500
isin3617,180000,135000
isin3618,0,0
isin3619,729000,1188000
isin3620,0,0
isin3621,633461.5385,4482000
isin3622,28227.27273,45000
isin3623,82350,90000
isin3624,106312.5,36000
isin3625,0,27000
isin3626,1550571.429,1809000
isin3627,0,0
isin3628,0,0
isin3629,0,0
isin3630,81000,40500
isin3631,0,135000
isin3632,81000,27000
isin3633,3004714.286,3017250
isin3634,9936000,9936000
isin3635,0,0
isin3636,0,0
isin3637,1998000,193500
isin3638,333000,784500
isin3639,0,0
isin3640,27000,13500
isin3641,0,27000
isin3642,0,0
isin3643,702000,10449000
isin3644,1794000,1114714.286
isin3645,202500,10449000
isin3646,27000,3501000
isin3647,607500,7056000
isin3648,0,0
isin3649,2817000,740571.4286
isin3650,2770200,4221000
isin3651,729000,3742200
isin3652,351000,567000
isin3653,1839857.143,2025000
isin3654,0,0
isin3655,8514000,9936000
isin3656,5670000,7803000
isin3657,0,0
isin3658,0,13500
isin3659,0,0
isin3660,135000,1269000
isin3661,12042000,31077000
isin3662,1066500,216000
isin3663,0,0
isin3664,0,1539000
isin3665,0,0
isin3666,0,0
isin3667,0,0
isin3668,219278.5714,102850.5155
isin3669,435375,95040
isin3670,176538.4615,139984.6154
isin3671,1016181.818,355304.3478
isin3672,5692500,689684.2105
isin3673,8515800,2556000
isin3674,0,0
isin3675,9936000,1701000
isin3676,27000,40500
isin3677,0,27000
isin3678,0,27000
isin3679,0,0
isin3680,418064.5161,713812.5
isin3681,756000,43875
isin3682,216000,999000
isin3683,0,1424250
isin3684,2268000,2268000
isin3685,1158428.571,124714.2857
isin3686,10449000,5933250
isin3687,0,13500
isin3688,0,0
isin3689,873000,412714.2857
isin3690,0,27000
isin3691,0,54000
isin3692,0,21600
isin3693,115363.6364,1077468.75
isin3694,196630.4348,1129500
isin3695,1696500,2025000
isin3696,135000,54000
isin3697,4314600,3080454.545
isin3698,0,0
isin3699,63000,117000
isin3700,452769.2308,796500
isin3701,54000,3639000
isin3702,640285.7143,707400
isin3703,1919934.783,9227250
isin3704,334500,1027500
isin3705,445500,1869000
isin3706,378000,6061500
isin3707,0,0
isin3708,0,0
isin3709,3118186.047,4782000
isin3710,6603260.87,5018884.615
isin3711,54000,23142.85714
isin3712,58500,42187.5
isin3713,54000,27000
isin3714,90000,81000
isin3715,0,0
isin3716,81000,81000
isin3717,0,0
isin3718,27000,50625
isin3719,0,0
isin3720,0,0
isin3721,0,0
isin3722,0,0
isin3723,0,567000
isin3724,0,0
isin3725,0,0
isin3726,270000,270000
isin3727,1248750,522000
isin3728,1431000,769500
isin3729,931500,5373000
isin3730,562552.9412,216663.9344
isin3731,9936000,4995000
isin3732,0,0
isin3733,1188000,1566000
isin3734,0,0
isin3735,2835000,1387800
isin3736,0,0
isin3737,0,0
isin3738,0,0
isin3739,432000,837000
isin3740,0,0
isin3741,64607.14286,87750
isin3742,0,0
isin3743,13500,8694000
isin3744,3229200,5211000
isin3745,2100600,202500
isin3746,180000,126900
isin3747,175500,81000
isin3748,2394900,341181.8182
isin3749,0,256500
isin3750,745875,972000
isin3751,81000,54000
isin3752,0,0
isin3753,634500,279000
isin3754,0,0
isin3755,1854000,31644000
isin3756,0,5389200
isin3757,0,108000
isin3758,0,0
isin3759,0,0
isin3760,0,0
isin3761,0,0
isin3762,417629.0323,1424250
isin3763,0,519750
isin3764,8478000,5373000
isin3765,79000,36000
isin3766,10449000,10449000
isin3767,10449000,10449000
isin3768,0,0
isin3769,3501000,10449000
isin3770,1674000,438750
isin3771,1701000,1701000
isin3772,1215000,631125
isin3773,0,0
isin3774,0,0
isin3775,54000,378000
isin3776,3164400,6507000
isin3777,0,0
isin3778,1269000,270000
isin3779,0,0
isin3780,0,81000
isin3781,0,0
isin3782,0,0
isin3783,8910000,8910000
isin3784,837000,3510000
isin3785,0,0
isin3786,0,0
isin3787,13500,68850
isin3788,54000,2979000
isin3789,2848500,63000
isin3790,1992600,534000
isin3791,614032.2581,1041428.571
isin3792,4853250,3190050
isin3793,3097058.824,1584000
isin3794,2164500,4439571.429
isin3795,1181863.636,3846000
isin3796,0,661500
isin3797,256500,405000
isin3798,1557000,972000
isin3799,1571062.5,302400
isin3800,360450,23400
isin3801,1416000,54000
isin3802,14148000,675000
isin3803,580500,57857.14286
isin3804,310500,1436400
isin3805,0,1926000
isin3806,73500,60954.54545
isin3807,0,675000
isin3808,360818.1818,4048071.429
isin3809,7168500,626400
isin3810,3451090.909,244350
isin3811,0,627750
isin3812,4272750,378000
isin3813,266760,67500
isin3814,3452516.129,1232653.846
isin3815,962052.6316,6216000
isin3816,2568068.182,4199625
isin3817,1815750,11718000
isin3818,1715343.75,4677750
isin3819,0,27000
isin3820,769500,1566000
isin3821,702000,378000
isin3822,0,702000
isin3823,465750,1269000
isin3824,54000,270000
isin3825,0,0
isin3826,1212545.455,21969000
isin3827,0,0
isin3828,94500,81000
isin3829,0,0
isin3830,205200,195750
isin3831,0,0
isin3832,780975,10971000
isin3833,668552.2388,2674500
isin3834,0,0
isin3835,0,0
isin3836,0,0
isin3837,0,0
isin3838,0,0
isin3839,0,0
isin3840,0,0
isin3841,0,0
isin3842,8572500,12972000
isin3843,5643000,2830500
isin3844,3490200,8244000
isin3845,0,0
isin3846,3253500,5800500
isin3847,1890000,11974500
isin3848,2004750,3627000
isin3849,0,14148000
isin3850,7074000,7074000
isin3851,1413000,31644000
isin3852,0,0
isin3853,0,0
isin3854,27000,27000
isin3855,0,0
isin3856,0,0
isin3857,1761750,7087500
isin3858,0,486000
isin3859,0,14148000
isin3860,0,0
isin3861,3996000,27000
isin3862,270000,837000
isin3863,0,189000
isin3864,266625,648000
isin3865,0,783000
isin3866,27000,27000
isin3867,810000,1971000
isin3868,10999800,54000
isin3869,0,0
isin3870,4788000,1161000
isin3871,0,0
isin3872,0,0
isin3873,19636714.29,22828500
isin3874,31077000,16240500
isin3875,0,0
isin3876,0,0
isin3877,0,0
isin3878,3483000,3483000
isin3879,0,19791000
isin3880,0,0
isin3881,0,0
isin3882,9936000,9048375
isin3883,0,6296142.857
isin3884,8515800,5802545.455
isin3885,6268500,4685086.957
isin3886,0,0
isin3887,0,0
isin3888,0,0
isin3889,0,0
isin3890,0,0
isin3891,0,0
isin3892,0,10449000
isin3893,0,0
isin3894,10449000,10449000
isin3895,0,0
isin3896,4380750,8545500
isin3897,8187750,5643000
isin3898,10449000,10449000
isin3899,10449000,7942153.846
isin3900,24000,54000
isin3901,3969000,5454000
isin3902,1026000,1174500
isin3903,0,621000
isin3904,135000,4419000
isin3905,4968000,918000
isin3906,4374000,2691000
isin3907,505956.5217,1249500
isin3908,0,0
isin3909,0,81000
isin3910,0,0
isin3911,0,0
isin3912,0,0
isin3913,0,0
isin3914,45409.09091,216000
isin3915,0,0
isin3916,270000,37800
isin3917,4311000,4311000
isin3918,0,0
isin3919,2403000,2403000
isin3920,216000,401625
isin3921,0,0
isin3922,2835000,843750
isin3923,0,0
isin3924,130500,48600
isin3925,435600,137454.5455
isin3926,0,0
isin3927,72000,54000
isin3928,2853000,4245750
isin3929,13500,2133000
isin3930,63000,135000
isin3931,40500,54000
isin3932,0,1917000
isin3933,89100,887142.8571
isin3934,0,0
isin3935,0,54000
isin3936,325038.4615,2112000
isin3937,90000,99000
isin3938,0,0
isin3939,52312.5,69300
isin3940,2835000,135000
isin3941,10449000,906187.5
isin3942,2370600,1921500
isin3943,6321857.143,3750868.421
isin3944,2895750,3969000
isin3945,8499600,7485750
isin3946,0,0
isin3947,0,0
isin3948,0,0
isin3949,0,0
isin3950,81000,81000
isin3951,0,0
isin3952,0,0
isin3953,108000,108000
isin3954,0,0
isin3955,135000,135000
isin3956,2268000,1107000
isin3957,0,0
isin3958,172607.1429,531900
isin3959,0,333000
isin3960,197100,54000
isin3961,432000,370285.7143
isin3962,1226930.233,3307500
isin3963,382500,142105.2632
isin3964,378000,248400
isin3965,567000,267750
isin3966,288000,214200
isin3967,1471500,638181.8182
isin3968,626785.7143,2094750
isin3969,197437.5,921857.1429
isin3970,481500,81000
isin3971,272612.9032,182925
isin3972,486900,111857.1429
isin3973,1263000,121500
isin3974,96428.57143,190227.2727
isin3975,612000,1282500
isin3976,243000,124200
isin3977,345937.5,362812.5
isin3978,0,0
isin3979,767971.6981,7047000
isin3980,0,0
isin3981,529676.4706,378843.75
isin3982,118800,90000
isin3983,27000,27000
isin3984,510750,923684.2105
isin3985,324000,1579500
isin3986,6858000,9936000
isin3987,0,0
isin3988,0,0
isin3989,0,0
isin3990,0,0
isin3991,0,0
isin3992,0,27000
isin3993,0,837000
isin3994,0,0
isin3995,3199500,81000
isin3996,21600,1138500
isin3997,0,0
isin3998,0,13500
isin3999,270000,23142.85714
isin4000,0,243000
isin4001,609428.5714,243000
isin4002,1404000,1836000
isin4003,2835000,387000
isin4004,0,0
isin4005,0,0
isin4006,15876000,396000
isin4007,13716000,1172571.429
isin4008,918000,793800
isin4009,114750,54000
isin4010,513000,513000
isin4011,1120500,360000
isin4012,11214000,8565750
isin4013,256500,5035500
isin4014,4651714.286,8159400
isin4015,0,0
isin4016,0,0
isin4017,0,0
isin4018,10449000,10449000
isin4019,0,0
isin4020,583200,6318000
isin4021,418500,569700
isin4022,0,61714.28571
isin4023,2440800,1353000
isin4024,67500,198000
isin4025,3361500,1971000
isin4026,1840500,324000
isin4027,0,0
isin4028,27000,418500
isin4029,9936000,4610250
isin4030,9936000,7627500
isin4031,2835000,2018250
isin4032,6903000,6858000
isin4033,13500,13500
isin4034,0,0
isin4035,162000,90000
isin4036,0,0
isin4037,0,0
isin4038,0,27000
isin4039,0,0
isin4040,0,0
isin4041,0,0
isin4042,0,0
isin4043,0,0
isin4044,0,0
isin4045,0,1296000
isin4046,0,0
isin4047,12519000,9109800
isin4048,0,0
isin4049,0,13500
isin4050,0,0
isin4051,27000,310500
isin4052,43200,13500
isin4053,4887000,4887000
isin4054,0,396000
isin4055,0,0
isin4056,0,0
isin4057,0,0
isin4058,4104000,4104000
isin4059,0,0
isin4060,0,0
isin4061,0,243000
isin4062,0,135000
isin4063,0,0
isin4064,0,0
isin4065,0,0
isin4066,0,0
isin4067,0,0
isin4068,0,0
isin4069,0,0
isin4070,0,27000
isin4071,0,13500
isin4072,0,108000
isin4073,979132.0755,79891.79104
isin4074,779823.5294,639523.2558
isin4075,4984200,5430000
isin4076,1608428.571,837000
isin4077,0,0
isin4078,0,0
isin4079,0,0
isin4080,0,0
isin4081,5251500,3825000
isin4082,567000,9936000
isin4083,0,0
isin4084,36000,54000
isin4085,67500,118800
isin4086,4968000,837000
isin4087,22041000,11479500
isin4088,7911000,9527142.857
isin4089,21762000,6556500
isin4090,5540062.5,2457000
isin4091,4762800,12700800
isin4092,1215000,567000
isin4093,6010392.857,5700857.143
isin4094,2797200,2196000
isin4095,4092631.579,2697923.077
isin4096,1525500,162000
isin4097,0,0
isin4098,11036250,14565000
isin4099,0,0
isin4100,0,0
isin4101,1350000,1350000
isin4102,2395285.714,1788750
isin4103,18108900,12539571.43
isin4104,8841000,18441000
isin4105,8491500,14148000
isin4106,54000,27000
isin4107,0,27000
isin4108,0,0
isin4109,0,1012500
isin4110,12015000,10611000
isin4111,0,0
isin4112,0,0
isin4113,0,0
isin4114,0,0
isin4115,10449000,1318950
isin4116,0,0
isin4117,0,27000
isin4118,17357.14286,27000
isin4119,81000,81000
isin4120,0,0
isin4121,2835000,1444500
isin4122,2835000,2835000
isin4123,729000,14148000
isin4124,0,351000
isin4125,961783.7838,5446285.714
isin4126,0,0
isin4127,0,54000
isin4128,2268000,432000
isin4129,0,0
isin4130,0,0
isin4131,0,10449000
isin4132,0,0
isin4133,0,553500
isin4134,0,0
isin4135,1053000,677454.5455
isin4136,0,801000
isin4137,0,351000
isin4138,0,0
isin4139,0,3105000
isin4140,0,0
isin4141,0,432000
isin4142,0,1336500
isin4143,0,0
isin4144,9895500,31077000
isin4145,5643000,2916000
isin4146,0,16024500
isin4147,0,0
isin4148,0,540000
isin4149,47250,86400
isin4150,27000,54000
isin4151,0,27000
isin4152,0,0
isin4153,4042406.25,2639482.759
isin4154,2688827.586,2612442.857
isin4155,5388428.571,1871590.909
isin4156,0,0
isin4157,0,0
isin4158,0,0
isin4159,234900,585000
isin4160,817714.2857,199800
isin4161,769500,267923.0769
isin4162,118125,58500
isin4163,630642.8571,251100
isin4164,293142.8571,842400
isin4165,3348000,438750
isin4166,0,0
isin4167,0,0
isin4168,0,0
isin4169,0,0
isin4170,20250,13500
isin4171,27000,40500
isin4172,54000,33750
isin4173,18000,18900
isin4174,13500,13500
isin4175,40500,108000
isin4176,27000,27000
isin4177,27000,27000
isin4178,22500,23625
isin4179,0,37800
isin4180,33750,13500
isin4181,189000,1485000
isin4182,695250,33750
isin4183,545400,1948500
isin4184,0,0
isin4185,27000,729000
isin4186,189000,13500
isin4187,0,1701000
isin4188,45000,135000
isin4189,0,0
isin4190,27000,81000
isin4191,0,252000
isin4192,391500,81000
isin4193,0,0
isin4194,3969000,3969000
isin4195,0,0
isin4196,5305500,6129000
isin4197,0,0
isin4198,0,0
isin4199,0,0
isin4200,0,0
isin4201,270000,945000
isin4202,9126000,1917000
isin4203,14148000,31077000
isin4204,3604500,5643000
isin4205,0,288000
isin4206,0,0
isin4207,0,486000
isin4208,0,0
isin4209,0,0
isin4210,9048375,3591000
isin4211,6318000,6318000
isin4212,0,0
isin4213,67500,13500
isin4214,0,0
isin4215,81000,33000
isin4216,0,0
isin4217,0,0
isin4218,6651000,9936000
isin4219,0,0
isin4220,1134000,1134000
isin4221,9936000,9936000
isin4222,31077000,11054250
isin4223,1404000,2835000
isin4224,0,31077000
isin4225,1485000,5535000
isin4226,0,0
isin4227,0,0
isin4228,16524000,4482000
isin4229,0,1701000
isin4230,0,0
isin4231,0,0
isin4232,0,0
isin4233,0,0
isin4234,0,15336000
isin4235,0,0
isin4236,0,702000
isin4237,0,0
isin4238,0,0
isin4239,0,0
isin4240,0,0
isin4241,0,0
isin4242,702000,1566000
isin4243,0,0
isin4244,18360000,31077000
isin4245,0,0
isin4246,0,0
isin4247,0,0
isin4248,0,0
isin4249,0,18000
isin4250,0,0
isin4251,0,13500
isin4252,0,54000
isin4253,0,22950
isin4254,0,54000
isin4255,0,13500
isin4256,0,13500
isin4257,113192.3077,282600
isin4258,27000,102600
isin4259,1586250,2476285.714
isin4260,10866272.73,17094857.14
isin4261,0,0
isin4262,31644000,7209000
isin4263,4627384.615,16409250
isin4264,0,0
isin4265,13468500,10387285.71
isin4266,985500,1954800
isin4267,0,0
isin4268,3919500,702000
isin4269,3256200,4206600
isin4270,0,0
isin4271,0,0
isin4272,0,0
isin4273,0,0
isin4274,0,0
isin4275,0,0
isin4276,1586250,567000
isin4277,194625,339187.5
isin4278,0,0
isin4279,2452500,9004500
isin4280,7276500,7843500
isin4281,1188000,1107000
isin4282,4259250,2547000
isin4283,3618000,1137857.143
isin4284,702000,5643000
isin4285,0,0
isin4286,31644000,17536500
isin4287,1404000,1404000
isin4288,54000,54000
isin4289,0,0
isin4290,0,0
isin4291,0,0
isin4292,0,0
isin4293,0,54000
isin4294,0,54000
isin4295,0,0
isin4296,0,0
isin4297,0,0
isin4298,0,0
isin4299,0,0
isin4300,0,0
isin4302,0,0
isin4303,0,0
isin4304,0,0
isin4305,0,0
isin4306,0,0
isin4307,108000,108000
isin4308,0,0
isin4309,108000,108000
isin4310,0,0
isin4311,0,189000
isin4312,0,0
isin4313,2673000,2673000
isin4314,0,0
isin4315,0,0
isin4316,0,0
isin4317,0,0
isin4318,81000,81000
isin4319,0,0
isin4320,0,0
isin4321,0,13500
isin4322,0,0
isin4323,0,0
isin4324,0,0
isin4325,0,0
isin4326,0,0
isin4327,0,0
isin4328,0,0
isin4329,0,0
isin4330,0,16875
isin4331,0,0
isin4332,0,13500
isin4333,0,0
isin4334,0,27000
isin4335,0,13500
isin4336,0,13500
isin4337,13500,13500
isin4338,0,0
isin4339,0,13500
isin4340,0,0
isin4341,0,0
isin4342,0,13500
isin4343,0,0
isin4344,13500,21600
isin4345,0,13500
isin4346,0,20250
isin4347,0,0
isin4348,0,13500
isin4349,0,0
isin4350,0,0
isin4351,0,0
isin4352,0,13500
isin4353,0,54000
isin4354,0,27000
isin4355,0,0
isin4356,0,0
isin4357,0,13500
isin4358,0,13500
isin4359,0,0
isin4360,0,24300
isin4361,0,13500
isin4362,0,0
isin4363,0,13500
isin4364,0,0
isin4365,0,13500
isin4366,0,0
isin4367,0,13500
isin4368,0,27000
isin4369,0,31500
isin4370,0,13500
isin4371,0,27000
isin4372,0,27000
isin4373,0,13500
isin4374,0,0
isin4375,0,0
isin4376,20250,20250
isin4377,0,22500
isin4378,0,0
isin4379,13500,13500
isin4380,54000,432000
isin4381,0,0
isin4382,0,54000
isin4383,0,0
isin4384,0,0
isin4385,0,0
isin4386,0,0
isin4387,0,0
isin4388,0,0
isin4389,0,0
isin4390,6520500,4113000
isin4391,0,0
isin4392,0,2835000
isin4393,6544800,6787125
isin4394,585000,243000
isin4395,1420200,92250
isin4396,3043125,423209.3023
isin4397,13116600,1193400
isin4398,0,0
isin4399,14148000,10575000
isin4400,2613600,11529000
isin4401,256500,8113500
isin4402,2575800,3056400
isin4403,901800,5666142.857
isin4404,27000,21937.5
isin4405,0,27000
isin4406,9936000,1512000
isin4407,0,0
isin4408,5231250,6041250
isin4409,1134000,5557500
isin4410,8545500,7890750
isin4411,0,0
isin4412,0,1404000
isin4413,0,0
isin4414,0,0
isin4415,0,0
isin4416,86400,324000
isin4417,0,0
isin4418,837000,1890000
isin4419,0,0
isin4420,0,0
isin4421,0,0
isin4422,5602500,9936000
isin4423,0,0
isin4424,0,0
isin4425,0,0
isin4426,441000,522000
isin4427,9936000,9936000
isin4428,5251500,3888000
isin4429,0,0
isin4430,8110800,8110800
isin4431,0,999000
isin4432,0,0
isin4433,1404000,1404000
isin4434,6034500,5251500
isin4435,313875,747000
isin4436,2430000,270000
isin4437,288000,614250
isin4438,225000,121500
isin4439,0,0
isin4440,0,0
isin4441,0,0
isin4442,0,135000
isin4443,0,0
isin4444,0,3253500
isin4445,0,0
isin4446,0,0
isin4447,9936000,9936000
isin4448,0,0
isin4449,0,0
isin4450,0,0
isin4451,0,0
isin4452,0,0
isin4453,702000,216000
isin4454,0,0
isin4455,0,0
isin4456,328500,486000
isin4457,4446000,1845000
isin4458,103500,1309500
isin4459,17470.58824,43875
isin4460,5602500,6561000
isin4461,1053000,747000
isin4462,594000,3036000
isin4463,27000,54000
isin4464,31644000,31644000
isin4465,0,0
isin4466,963000,2835000
isin4467,5643000,3234600
isin4468,0,0
isin4469,0,702000
isin4470,0,0
isin4471,0,0
isin4472,1971000,364500
isin4473,0,2538000
isin4474,0,0
isin4476,0,0
isin4477,1404000,5643000
isin4478,0,0
isin4479,0,0
isin4480,0,0
isin4481,5841000,13905000
isin4482,13023000,5583000
isin4483,3888000,7857000
isin4484,0,0
isin4485,985500,8478000
isin4486,0,0
isin4487,0,0
isin4488,31077000,31077000
isin4489,0,0
isin4490,0,0
isin4491,22612500,31077000
isin4492,3658500,5400000
isin4493,0,4617000
isin4494,31077000,1156500
isin4495,0,0
isin4496,0,0
isin4497,0,0
isin4498,0,0
isin4499,0,0
isin4500,567000,5373000
isin4501,0,7506000
isin4502,0,0
isin4503,0,4374000
isin4504,8721000,11664000
isin4505,0,0
isin4506,0,0
isin4507,0,0
isin4508,6021000,31077000
isin4509,0,432000
isin4510,0,31077000
isin4511,0,0
isin4512,6741000,16767000
isin4513,10449000,14976000
isin4514,0,0
isin4515,7569000,6952500
isin4516,7907142.857,7095600
isin4517,0,621000
isin4518,3179250,7110000
isin4519,918000,255000
isin4520,54000,232200
isin4521,243000,18000
isin4522,864000,1903500
isin4523,0,13743000
isin4524,0,2046600
isin4525,0,0
isin4526,0,0
isin4527,0,0
isin4531,0,0
isin4532,0,0
isin4536,0,0
isin4537,125357.1429,94500
isin4538,10865250,12906000
isin4539,2713500,3510000
isin4540,0,0
isin4541,2946552.632,4779000
isin4542,2961000,1216928.571
isin4543,1633500,1672772.727
isin4544,0,0
isin4545,0,0
isin4546,0,0
isin4547,0,0
isin4548,27000,27000
isin4549,0,0
isin4550,13500,108000
isin4552,0,0
isin4553,0,0
isin4554,0,0
isin4555,756000,567000
isin4556,18243.24324,23400
isin4557,9936000,5035500
isin4558,0,0
isin4559,0,0
isin4560,0,0
isin4561,40500,155250
isin4562,0,0
isin4563,717187.5,808071.4286
isin4564,0,0
isin4565,452863.6364,141750
isin4566,3753000,1507500
isin4567,424285.7143,414000
isin4568,405000,5760000
isin4569,20250,155250
isin4570,2613600,1923750
isin4571,108000,54000
isin4572,54000,364500
isin4573,212823.5294,364500
isin4574,3105000,2821500
isin4575,117000,78300
isin4576,447428.5714,119423.0769
isin4577,128769.2308,355050
isin4578,0,0
isin4579,530052.6316,46500
isin4580,759521.7391,1341000
isin4581,270000,472500
isin4582,2649857.143,4802142.857
isin4583,0,0
isin4584,351000,2841750
isin4585,5190750,7350750
isin4586,99000,256500
isin4587,69187.5,33750
isin4588,18225000,11121750
isin4589,0,0
isin4590,2322000,81000
isin4591,2370600,1073250
isin4592,62100,324000
isin4593,513000,31644000
isin4594,0,0
isin4595,0,0
isin4596,423000,1485000
isin4597,81000,27000
isin4598,452250,2621700
isin4599,0,0
isin4600,156600,945000
isin4601,945000,2160000
isin4602,0,13500
isin4603,702000,526500
isin4604,996923.0769,4023000
isin4605,81000,351000
isin4606,502434.7826,223714.2857
isin4607,529200,54000
isin4608,0,0
isin4609,117000,783000
isin4610,0,135000
isin4611,13797000,31644000
isin4612,324000,5760000
isin4613,0,0
isin4614,126849.0566,234321.4286
isin4615,114000,68538.46154
isin4616,213300,120193.5484
isin4617,131400,105840
isin4618,213637.5,1387500
isin4619,258428.5714,97500
isin4620,13500,13500
isin4621,0,54000
isin4622,0,0
isin4623,0,189000
isin4624,0,0
isin4625,1001700,37125
isin4626,388800,2511000
isin4627,0,0
isin4628,1512000,2493000
isin4629,27000,639000
isin4630,0,0
isin4631,0,0
isin4632,0,0
isin4633,0,0
isin4634,297000,153000
isin4635,0,0
isin4636,0,4563000
isin4637,0,0
isin4638,0,0
isin4639,2835000,27000
isin4640,0,0
isin4641,81000,81000
isin4642,325350,81000
isin4643,8120250,3567857.143
isin4644,9936000,9936000
isin4645,1431000,432000
isin4646,911250,2006307.692
isin4647,0,0
isin4648,0,0
isin4649,0,0
isin4650,229500,1213650
isin4651,0,0
isin4652,0,0
isin4653,0,27000
isin4654,0,0
isin4655,1404000,1269000
isin4656,0,0
isin4657,0,0
isin4658,1053000,8478000
isin4659,0,0
isin4660,0,0
isin4661,0,0
isin4662,1010368.421,3946500
isin4663,1701000,2883600
isin4664,1675862.069,1730700
isin4665,1037020.408,2322000
isin4666,339979.5918,1694250
isin4667,445500,324000
isin4668,299596.1538,1329075
isin4669,443117.6471,251526.3158
isin4670,308942.3077,1103400
isin4671,405000,135000
isin4672,283853.4031,9390000
isin4673,0,0
isin4674,0,0
isin4675,0,0
isin4676,0,0
isin4677,0,0
isin4678,0,0
isin4679,0,0
isin4680,0,0
isin4681,0,0
isin4682,0,0
isin4683,0,0
isin4684,54000,67500
isin4685,16024500,405000
isin4686,1087714.286,2425500
isin4687,380197.6744,489000
isin4688,132602.8037,27000
isin4689,0,0
isin4690,331500,2791285.714
isin4691,0,0
isin4692,0,108000
isin4693,287013.6986,88714.28571
isin4694,3812400,108000
isin4695,0,0
isin4696,0,0
isin4697,0,0
isin4698,0,0
isin4699,0,0
isin4700,0,0
isin4701,0,0
isin4702,0,0
isin4703,0,33136.36364
isin4704,0,0
isin4705,0,13500
isin4706,0,13500
isin4707,0,0
isin4708,0,0
isin4709,0,0
isin4710,13500,13500
isin4711,0,0
isin4712,0,0
isin4713,0,0
isin4714,0,0
isin4715,0,0
isin4716,0,13500
isin4717,0,27000
isin4718,0,0
isin4719,0,27000
isin4720,0,0
isin4721,0,0
isin4722,0,0
isin4723,910575,4431375
isin4724,6088500,11313000
isin4725,0,16031250
isin4726,0,2970000
isin4727,17941500,10685250
isin4728,6102000,2505600
isin4729,0,0
isin4730,27000,27000
isin4731,0,0
isin4732,0,27000
isin4733,0,27000
isin4734,0,0
isin4735,8478000,1137375
isin4736,40500,66000
isin4737,60750,106411.7647
isin4738,973800,783000
isin4739,0,0
isin4740,800470.5882,299076.9231
isin4741,27000,27000
isin4742,0,253800
isin4743,2205000,1480500
isin4744,466714.2857,5175000
isin4745,27000,571500
isin4746,0,33750
isin4747,0,0
isin4748,0,27000
isin4749,0,13500
isin4750,0,13500
isin4751,0,0
isin4752,0,13500
isin4753,0,27000
isin4754,0,0
isin4755,0,0
isin4756,0,18000
isin4757,0,13500
isin4758,0,27000
isin4759,0,0
isin4760,0,0
isin4761,0,0
isin4762,13500,13500
isin4763,0,13500
isin4764,0,0
isin4765,0,0
isin4766,0,0
isin4768,0,0
isin4769,0,0
isin4770,0,0
isin4771,0,0
isin4772,0,4077000
isin4773,31644000,31644000
isin4774,0,0
isin4775,17806500,31644000
isin4776,0,0
isin4777,0,0
isin4778,0,0
isin4779,0,0
isin4780,810000,135000
isin4781,1701000,2187000
isin4782,1350000,685800
isin4783,135000,729000
isin4784,3910090.909,2398500
isin4785,1338954.545,792000
isin4786,55928.57143,66535.71429
isin4787,81000,621000
isin4788,0,405000
isin4789,452250,87000
isin4790,50823.52941,504692.3077
isin4791,394697.3684,560250
isin4792,506520,2002500
isin4793,42954.54545,351000
isin4794,4212000,3533142.857
