Account Number,Address,Scheme,Staus,Gender,Region,Sale.of.Equipment.Status,Age,Equipment.Warranty,Salary.Slab,Professional.Info,Age.of.Home,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,defaultsum,Hours,Posthours,daraGB,Default,query_days,usage_number,LevelPaymentSettlement,LevelTech,Account,PaymentSettlement,Browsing,OperationalCapabilities,GeneralInformation,NoBrowse,Payment,FullPayment,Redirected,Nosupport/ThirdParty,SlowBrowse,Utilities,ExplanationofCharges,Change,MultipleItems/EntireBill,UpdatePaymentInformation,GeneralInquiry,Retention,CommenceDays,Warrentydays
M357,VALID,CNN,Open,Male,Eastern,RENTED,55,Three Full Years,6,0,22,0,0,3,2,2013,11,9,2016,4,4,Paper based/Post,1.05,562.6,1964.28,748,243,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,-369
M358,VALID,CHC,Open,Female,Eastern,RENTED,67,Three Full Years,3,0,22,0,0,3,0,2013,12,21,2016,3,9, Card II TYPE,717.36,0,2164.74,0,10.45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469,-344
M359,VALID,PMM,Open,Female,Eastern,BOUGHT,80,Three Full Years,4,0,12,0,0,3,0,2013,12,25,2015,12,7, Card II TYPE,526.89,0,2175.27,0,169.1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465,-247
M360,VALID,PWR,Open,Male,Eastern,RENTED,38,Three Full Years,5,0,12,0,1,3,0,2013,10,30,2016,3,14,Paper based/Post,811.23,0,1982.35,0,369.2,0,83,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,520,-349
M361,INVALID,PWR,Open,Female,Northern,RENTED,42,Three Full Years,5,0,7,0,0,3,0,2012,12,18,2015,3,11, Card II TYPE,646.695,0,1841.26,0,253.9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,19
M362,VALID,PWR,Open,Male,Eastern,RENTED,40.90888889,Three Full Years,3,0,7,0,0,3,0,2013,11,13,2016,3,9, Card II TYPE,682.29,0,2167.4,180,227.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,-344
M363,VALID,PWR,Open,Female,Eastern,RENTED,50,Three Full Years,9,6,17,0,0,3,0,2012,7,28,2015,3,22, Card II TYPE,719.04,0,1828.95,0,164.75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,8
M364,VALID,POP,Open,Male,Eastern,RENTED,48,Three Full Years,2,12,17,0,3,3,1,2011,10,14,2015,3,9, Card II TYPE,1033.2,884,1890.79,0,200.25,0,26,3,2,1,0,3,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1266,21
M365,VALID,CNN,Open,Male,Eastern,RENTED,56,Three Full Years,6,14,22,0,1,3,0,2013,11,7,2016,4,3, Card II TYPE,644.385,0,1570.31,0,14.05,0,88,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,-368
M366,VALID,CNN,Open,Male,Eastern,RENTED,61,Three Full Years,5,0,12,0,0,3,0,2013,9,24,2015,9,14, Card II TYPE,646.695,0,2069.15,0,83.75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,-164
M367,VALID,POP,Open,Male,Western,RENTED,73,Three Full Years,5,14,22,0,2,3,0,2013,5,9,2015,4,15, Card II TYPE,1107.12,0,1683.27,0,42.55,0,49,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,691,-15
M368,VALID,PWR,Open,Female,Northern,RENTED,61,Three Full Years,3,14,21,0,1,3,1,2012,9,8,2015,3,19, Card II TYPE,773.85,637,2123.61,195,510.9,0,33,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,937,11
M369,VALID,PRM,Open,Male,Northern,RENTED,37.26666667,Three Full Years,3,0,2,0,0,3,0,2014,3,22,2016,3,15, Card II TYPE,643.965,0,1886.53,312,141.65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,-350
M370,INVALID,PWR,Open,Female,Eastern,RENTED,62,Three Full Years,4,0,22,0,0,3,0,2013,11,12,2016,3,15, Card II TYPE,718.515,0,1800.55,0,58,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,-350
M371,VALID,KLA,Open,Female,Northern,RENTED,35,Three Full Years,4,0,12,0,0,3,0,2013,8,13,2015,7,20, Card II TYPE,1243.935,0,1951.62,715,1250.4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,-110
M372,VALID,PWR,Open,Male,Eastern,RENTED,72,Three Full Years,5,0,21,0,1,3,1,2013,10,26,2016,3,20, Card II TYPE,718.515,584.3,1790.08,0,64.6,0,42,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,524,-355
M373,VALID,PRP,Open,Male,Northern,RENTED,40,Three Full Years,3,0,21,0,1,3,1,2011,10,28,2015,4,5, Card II TYPE,1656.585,1657.7,2096.83,131,441.25,0,27,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1252,-5
M374,VALID,PRR,Open,Male,Eastern,BOUGHT,42,Three Full Years,2,0,22,0,10,3,0,2013,10,19,2016,4,1,Paper based/Post,980.28,0,2026.12,0,217.55,0,65,3,6,4,4,4,1,1,4,0,4,3,1,1,1,0,0,0,0,0,0,1,531,-366
M375,VALID,PWM,Open,Male,Eastern,RENTED,65,Three Full Years,4,0,12,0,0,3,0,2012,3,10,2015,3,19, Card II TYPE,1302.42,0,2054.37,0,133.15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1115,11
M376,VALID,PWR,Open,Female,Eastern,RENTED,69,Three Full Years,8,0,17,0,0,3,0,2013,11,1,2016,3,14, Card II TYPE,826.77,0,1721.75,0,1.1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,-349
M377,VALID,CNN,Open,Male,Eastern,RENTED,58,Three Full Years,3,0,22,0,0,3,0,2013,10,25,2016,3,21, Card II TYPE,680.715,0,2050.76,0,135.2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,-356
M378,VALID,MXX,Open,Male,Eastern,RENTED,77,Three Full Years,3,0,22,0,0,3,0,2011,10,24,2015,3,22, Card II TYPE,1485.225,0,2016.33,0,28.7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1256,8
M379,VALID,CHC,Open,Female,Northern,RENTED,61,Three Full Years,6,0,17,0,0,3,0,2014,4,16,2016,3,21, Card II TYPE,604.275,0,1787.09,0,75.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,-356
M380,VALID,PRM,Open,Female,Eastern,RENTED,38,Three Full Years,4,0,7,0,1,2,0,2014,2,27,2016,4,1, Card II TYPE,792.75,0,2051.68,708,896.1,0,11,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,398,-366
M381,VALID,PRM,Open,Male,Western,RENTED,52,Three Full Years,4,5,7,0,1,3,0,2012,12,18,2015,3,23, Card II TYPE,644.385,0,2090.2,0,831.55,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837,7
M382,VALID,PWP,Open,Male,Eastern,RENTED,74,Three Full Years,3,14,12,0,0,3,0,2012,2,21,2015,3,25, Card II TYPE,643.965,0,2177.77,211,378.45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,5
M383,VALID,PPL,Open,Male,Eastern,BOUGHT,44,Three Full Years,5,0,22,0,0,2,0,2014,11,27,2016,11,1, Card II TYPE,314.475,0,1909.83,214,288.95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,-576
M384,VALID,PRM,Open,Male,Eastern,RENTED,58,Three Full Years,4,8,17,0,1,3,1,2014,2,11,2016,3,19, Card II TYPE,574.14,653.3,2178.42,672,379.25,0,11,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,414,-354
M385,INVALID,PRM,Open,Female,Eastern,RENTED,41,Three Full Years,5,0,12,0,0,3,0,2014,4,5,2016,3,28, Card II TYPE,767.76,0,1849.08,326,290.9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,-363
M386,VALID,CHC,Open,Male,Northern,RENTED,47.14285714,Three Full Years,3,0,2,0,0,3,0,2013,12,13,2016,3,26, Card I TYPE,643.965,0,1834.11,413,135.8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,-361
M387,VALID,KLA,Open,Male,Northern,RENTED,41,Three Full Years,5,0,7,0,0,3,0,2014,3,4,2016,3,27, Card II TYPE,1028.58,0,2035.66,27,729.15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,391,-362
M388,VALID,PRM,Open,Female,Southern,RENTED,55,Three Full Years,6,5,22,0,0,2,0,2014,4,13,2016,4,1, Card I TYPE,640.92,0,1857.85,79,192.05,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352,-366
M389,VALID,POP,Open,Male,Northern,RENTED,85,Three Full Years,5,20,12,0,0,3,0,2013,7,26,2015,7,26, Card II TYPE,963.585,0,1817.64,0,541.65,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,-116
M390,VALID,PMM,Closed,Female,Northern,BOUGHT,54,Three Full Years,3,0,22,1,1,1,2,2014,5,29,2016,5,21,Paper based/Post,733.95,249.5,1221.44,0,149.95,0,71,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,306,-416
M391,VALID,POP,Open,Male,Northern,RENTED,58,Three Full Years,4,0,22,0,1,3,1,2012,6,29,2015,3,26, Card II TYPE,962.85,817,2076.28,0,570.3,0,64,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,4
M392,VALID,CHC,Open,Male,Eastern,RENTED,46,Three Full Years,3,0,12,0,0,3,0,2014,7,23,2016,6,30, Card II TYPE,540.54,0,1575.63,0,7.1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,-455
M393,VALID,PMM,Open,Female,Eastern,BOUGHT,33,Three Full Years,3,20,7,0,0,3,0,2014,3,22,2015,3,28, Card II TYPE,583.065,0,2183.42,808,434.35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,2
M394,VALID,PPL,Open,Male,Eastern,RENTED,23,Three Full Years,4,8,12,0,1,3,0,2013,11,20,2016,3,28, Card II TYPE,611.625,0,1950.21,428,430.15,0,6,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,500,-363
M395,VALID,PWR,Open,Male,Northern,RENTED,71,Three Full Years,5,10,21,0,1,3,0,2013,9,26,2015,9,10, Card II TYPE,876.015,0,1683.97,0,149.1,0,66,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,554,-160
M396,VALID,PRM,Open,Male,Eastern,RENTED,43.62666667,Three Full Years,4,0,1,0,1,2,0,2014,3,29,2016,3,30,Paper based/Post,623.385,0,2079.66,1042,544.75,0,83,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,366,-365
M397,VALID,PRM,Open,Female,Northern,RENTED,44,Three Full Years,4,0,17,0,0,3,0,2014,7,5,2016,7,10, Card II TYPE,563.64,0,1777.11,0,24.8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,-465
M398,VALID,PWM,Open,Female,Northern,RENTED,63,Three Full Years,3,0,22,0,2,3,1,2013,9,5,2015,9,4, Card II TYPE,1626.345,1448.9,2063.6,250,898.45,0,40,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,575,-154
M399,VALID,PWR,Open,Male,Northern,RENTED,44,Three Full Years,3,0,7,0,0,3,0,2013,8,5,2015,7,8, Card II TYPE,715.365,0,1835.79,569,321.95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605,-98
M400,VALID,PRP,Open,Female,Northern,RENTED,44,Three Full Years,6,0,17,0,5,3,3,2013,12,30,2016,4,5,Paper based/Post,911.19,767.8,1742.05,554,409.4,0,24,3,2,3,0,2,2,2,0,0,0,0,1,1,2,1,1,0,1,0,0,0,460,-370
M401,VALID,PRR,Open,Male,Northern,RENTED,42,Three Full Years,3,0,7,0,2,3,0,2014,7,24,2016,7,4, Card II TYPE,993.72,0,1796.82,233,341.5,0,25,3,1,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,251,-459
M402,VALID,KLA,Open,Male,Western,RENTED,70,Three Full Years,3,0,7,0,2,2,0,2011,10,12,2015,4,4,Paper based/Post,929.67,0,2069.64,0,337.7,0,60,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1268,-4
M403,VALID,CHC,Open,Male,Northern,RENTED,31,Three Full Years,4,0,17,1,0,3,0,2013,8,12,2015,8,8, Card II TYPE,642.39,0,2019.27,795,413.15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598,-128
M404,VALID,POP,Open,Male,Western,RENTED,39,Three Full Years,4,10,7,0,0,3,0,2012,1,10,2015,4,5, Card II TYPE,1087.17,0,1775.5,0,219.1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1175,-5
M405,VALID,PWR,Open,Female,Eastern,RENTED,52,Three Full Years,7,14,22,0,0,3,0,2013,8,8,2015,7,9, Card II TYPE,646.695,0,2018.2,0,116.8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,-99
M406,VALID,PWP,Open,Male,Northern,RENTED,59,Three Full Years,3,9,2,0,0,3,0,2012,4,28,2015,4,5, Card I TYPE,648.06,0,2112.45,210,347.7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1067,-5
M407,VALID,PPL,Open,Male,Eastern,RENTED,37,Three Full Years,3,10,7,0,2,2,1,2013,12,14,2016,3,6,Paper based/Post,1644.72,683.2,1211.21,486,265.2,0,48,3,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,476,-341
M408,VALID,CHC,Open,Male,Northern,RENTED,66,Three Full Years,6,8,22,0,0,3,0,2014,4,8,2016,3,10, Card II TYPE,543.585,0,1888.75,293,264.9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,-345
M409,VALID,PWR,Open,Female,Northern,RENTED,43.11433333,Three Full Years,3,0,7,0,0,3,0,2012,8,23,2015,3,9, Card II TYPE,783.405,0,1977.15,392,452.45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,21
M410,VALID,KLA,Open,Female,Western,RENTED,30,Three Full Years,1,0,7,0,0,3,0,2012,11,16,2015,3,9, Card II TYPE,1183.14,0,2072.12,0,553.75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,869,21
M411,VALID,KLA,Open,Male,Eastern,RENTED,43.15083333,Three Full Years,3,0,1,0,1,3,0,2014,11,2,2016,10,10, Card II TYPE,583.695,0,2019.7,506,306.5,0,7,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,-555
M412,VALID,CHC,Open,Male,Eastern,RENTED,57,Three Full Years,3,10,22,0,0,3,0,2013,10,23,2016,3,9, Card I TYPE,457.59,0,1933.93,0,57.05,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,-344
M413,VALID,PWR,Open,Male,Eastern,RENTED,56,Three Full Years,3,0,12,0,0,3,0,2013,10,18,2016,3,13, Card II TYPE,636.09,0,1908.56,0,136.1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,-348
M414,VALID,PWR,Open,Male,Eastern,RENTED,54.14166667,Three Full Years,6,0,22,0,0,3,0,2013,4,8,2015,3,12, Card II TYPE,682.29,0,1854,0,157.3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,722,18
M415,VALID,PWR,Open,Female,Northern,RENTED,46,Three Full Years,1,0,7,0,0,3,0,2013,3,3,2015,3,9, Card I TYPE,804.405,0,1960.6,0,152.4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757,21
M416,VALID,PWM,Open,Male,Northern,RENTED,51.62266667,Three Full Years,4,0,12,0,0,3,0,2011,12,21,2015,3,10, Card II TYPE,1253.28,0,1727.16,0,174.9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,20
M417,VALID,CNN,Open,Male,Northern,RENTED,54,Three Full Years,5,0,12,0,0,3,0,2013,11,22,2016,3,9, Card II TYPE,717.045,0,1692.28,0,83,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,498,-344
M418,VALID,PPL,Open,Female,Northern,RENTED,46.77583333,Three Full Years,2,0,7,0,2,3,0,2012,5,31,2015,3,26,Paper based/Post,753.9,0,2072.7,0,397.55,0,56,3,2,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1034,4
M419,VALID,PWR,Open,Male,Northern,RENTED,21,Three Full Years,2,0,7,0,1,3,0,2013,6,8,2015,5,12, Card II TYPE,636.3,0,1850.28,0,175.4,0,48,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,662,-42
M420,VALID,PPL,Open,Female,Eastern,RENTED,46,Three Full Years,5,19,21,0,1,3,0,2012,12,26,2015,3,23, Card II TYPE,825.09,0,2063.29,32,228.95,0,37,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829,7
M421,VALID,PWR,Open,Male,Western,RENTED,46,Three Full Years,4,6,22,0,0,3,0,2013,7,23,2015,7,16, Card II TYPE,647.01,0,954.08,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617,-106
M422,VALID,PWR,Open,Male,Northern,RENTED,47,Three Full Years,4,0,17,0,0,3,0,2013,8,31,2015,8,12, Card II TYPE,794.43,0,2080.06,270,345.95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,579,-132
M423,VALID,PWR,Open,Male,Northern,RENTED,49,Three Full Years,5,6,22,0,0,3,0,2011,10,4,2015,3,15, Card II TYPE,636.3,0,1964.08,0,272.35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1276,15
M424,VALID,ESS,Open,Male,Eastern,RENTED,63,Three Full Years,4,0,22,0,2,3,0,2013,6,13,2015,5,15, Card II TYPE,750.225,0,1701.69,0,49.15,0,74,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,657,-45
M425,VALID,KLA,Open,Male,Northern,RENTED,81,Three Full Years,3,0,7,0,0,2,2,2012,4,14,2015,3,18,Paper based/Post,2021.67,200,1853.17,0,902.4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1081,12
M426,VALID,PWR,Open,Male,Eastern,RENTED,44,Three Full Years,3,0,7,0,0,3,1,2012,9,28,2015,3,18, Card II TYPE,645.54,514.8,2171.39,94,273.3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,917,12
M427,VALID,PWP,Closed,Male,Eastern,RENTED,35,Three Full Years,3,0,7,0,0,1,0,2012,5,30,2015,3,30, Card II TYPE,682.29,0,972.62,0,188.7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035,0
M428,VALID,PWP,Open,Male,Eastern,RENTED,64,Three Full Years,3,18,7,0,0,3,0,2011,11,6,2015,3,17, Card II TYPE,777.21,0,2152.46,0,202.1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,13
M429,VALID,PRR,Open,Male,Eastern,RENTED,57,Three Full Years,3,0,22,0,3,2,0,2012,5,31,2015,3,15,Paper based/Post,927.255,0,1918.15,371,408.4,0,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1034,15
M430,VALID,PWR,Open,Female,Northern,RENTED,68,Three Full Years,6,6,17,0,0,3,0,2012,8,30,2015,3,22, Card II TYPE,805.875,0,844.2,0,172.35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,8
M431,VALID,PWP,Open,Male,Northern,RENTED,62,Three Full Years,3,14,7,0,0,3,0,2012,2,15,2015,3,16, Card I TYPE,668.64,0,2091.66,0,276.35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1140,14
M432,VALID,PWR,Open,Female,Northern,RENTED,51,Three Full Years,1,0,12,0,0,3,0,2013,10,16,2016,3,23,Paper based/Post,7.77,0,2075.11,0,125.6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534,-358
M433,VALID,MXX,Open,Female,Eastern,RENTED,49,Three Full Years,5,0,12,0,0,3,0,2013,10,29,2016,3,19, Card I TYPE,1483.965,0,2041.2,0,211.7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521,-354
M434,VALID,PRM,Open,Female,Eastern,RENTED,67,Three Full Years,3,14,22,0,0,3,0,2014,3,11,2016,3,22, Card II TYPE,759.57,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,-357
M435,VALID,PPL,Open,Female,Northern,RENTED,44,Three Full Years,5,0,17,0,2,3,0,2013,10,31,2016,3,18,Paper based/Post,925.26,0,2082.37,524,368.15,0,31,3,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,519,-353
M436,VALID,MXX,Open,Female,Western,RENTED,57,Three Full Years,7,0,21,0,0,3,0,2013,7,19,2015,6,22, Card II TYPE,1486.17,0,2175.76,291,282,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,621,-82
M437,VALID,CNN,Open,Male,Northern,RENTED,69,Three Full Years,4,0,22,0,0,3,0,2013,10,5,2016,3,18, Card II TYPE,648.9,0,1431.67,0,129.95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,-353
M438,VALID,KLA,Open,Female,Northern,RENTED,76,Three Full Years,3,0,7,0,5,2,0,2013,3,31,2015,3,23,Paper based/Post,2021.88,0,2100.94,389,713.35,0,43,3,3,2,2,3,0,0,1,0,2,2,0,0,0,0,1,0,1,0,0,0,729,7
M439,VALID,PMM,Open,Male,Northern,BOUGHT,52,Three Full Years,6,0,21,0,0,3,0,2014,8,6,2016,7,22, Card II TYPE,314.475,0,2068.7,166,207.35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,-477
M440,VALID,MXX,Open,Male,Western,BOUGHT,43.432,Three Full Years,3,0,2,0,2,3,1,2014,2,4,2016,3,19,Paper based/Post,4025.7,1044.1,877.83,92,1098.75,0,87,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,-354
M441,INVALID,PRM,Open,Male,Eastern,RENTED,29,Three Full Years,5,0,12,0,5,2,2,2014,3,17,2016,4,1, Card II TYPE,767.76,731.2,2043.26,696,635.8,0,51,3,5,0,1,4,0,0,2,0,2,2,1,1,0,0,0,0,0,0,0,0,378,-366
M442,VALID,PRR,Open,Male,Northern,RENTED,62,Three Full Years,4,5,7,0,2,3,0,2013,12,19,2016,3,20, Card II TYPE,839.16,0,1822.64,0,22.85,0,60,3,2,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,471,-355
M443,VALID,KLA,Open,Male,Northern,RENTED,39,Three Full Years,4,0,17,0,3,3,0,2012,7,28,2015,3,24, Card II TYPE,543.585,0,1517.91,22,524.3,0,79,3,3,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,977,6
M444,VALID,PPL,Open,Male,Eastern,RENTED,43.07666667,Three Full Years,3,0,2,0,0,2,0,2014,3,26,2016,3,26, Card II TYPE,7.77,0,2017.9,0,73.3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,-361
M445,VALID,PRM,Open,Male,Northern,RENTED,65,Three Full Years,6,0,22,0,0,3,0,2014,8,5,2016,7,30, Card II TYPE,563.64,0,1819.8,0,104.5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,-485
M446,VALID,PWR,Open,Female,Eastern,RENTED,44,Three Full Years,5,0,17,0,0,3,0,2012,8,30,2015,3,26, Card II TYPE,644.385,0,1733.89,0,1.4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,4
M447,VALID,CNN,Open,Male,Eastern,RENTED,51.172,Three Full Years,4,0,17,0,1,3,2,2013,7,27,2015,7,23, Card II TYPE,775.32,638.4,1760.13,0,141.8,0,85,3,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,613,-113
M448,VALID,PWR,Open,Female,Northern,RENTED,67,Three Full Years,3,0,12,0,1,3,0,2013,10,12,2016,3,29, Card II TYPE,642.39,0,2072.02,0,145.45,0,55,3,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,538,-364
M449,VALID,CNN,Open,Male,Northern,RENTED,64,Three Full Years,4,8,12,0,0,3,0,2013,3,2,2015,3,26, Card II TYPE,646.905,0,1759.16,0,21.55,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758,4
M450,VALID,PWR,Open,Male,Northern,RENTED,62,Three Full Years,6,0,21,0,0,3,0,2012,2,25,2015,3,30, Card II TYPE,647.01,0,1785.12,91,312.95,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1130,0
M451,INVALID,PWR,Open,Male,Northern,RENTED,60,Three Full Years,8,5,17,0,2,3,0,2011,9,27,2015,3,27, Card II TYPE,648.585,0,1861.7,0,85.15,0,74,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1283,3
M452,VALID,CHC,Open,Male,Eastern,RENTED,46,Three Full Years,5,0,12,0,1,2,0,2014,10,1,2016,10,1, Card II TYPE,542.85,0,1792.38,137,115.55,0,7,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,184,-546
M453,VALID,PWP,Open,Male,Eastern,RENTED,54,Three Full Years,6,0,7,0,0,2,0,2012,3,9,2015,3,31, Card II TYPE,720.09,0,2071.26,221,351.75,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,-1
