,Account Number,Commence Date,Address,Scheme,Staus,Gender,Region , Sale of Equipment Status,Age,Equipment Warranty,Salary Slab,Professional Info,Age of Home,Equipment Warranty Expiry Date,Churn Date,Categ,Query_freq,payment_number,Default_number
2522,M2557,2013-05-03,VALID,PPL,Open,Male,Western,RENTED,38.0,Three Full Years,7.0,0.0,12.0,2015-05-03,0,0,1,3,0
2523,M2558,2013-05-08,VALID,PRP,Open,Male,Eastern,BOUGHT,37.0,Three Full Years,3.0,20.0,7.0,2015-05-13,0,0,2,2,0
2524,M2559,2013-05-09,VALID,CNN,Open,Male,Western,RENTED,,Three Full Years,5.0,0.0,4.0,2015-05-09,0,0,0,3,0
2525,M2560,2013-05-09,VALID,PRR,Open,Female,Western,RENTED,,Three Full Years,4.0,0.0,7.0,2015-05-09,0,0,0,3,0
2526,M2561,2013-05-05,VALID,PWM,Open,,Eastern,RENTED,,Three Full Years,,,,2015-05-05,0,0,0,3,0
2527,M2562,2013-05-11,VALID,PWR,Open,Male,Eastern,BOUGHT,65.0,Three Full Years,7.0,19.0,22.0,2015-05-11,0,0,0,3,0
2528,M2563,2013-05-12,VALID,PWR,Open,Female,Eastern,RENTED,43.0,Three Full Years,1.0,0.0,4.0,2015-05-12,0,0,0,3,0
2529,M2564,2013-05-06,VALID,POP,Open,,Northern,RENTED,,Three Full Years,,,,2015-05-17,0,0,0,3,0
2530,M2565,2013-05-10,VALID,CNN,Open,Female,Eastern,RENTED,53.0,Three Full Years,4.0,0.0,4.0,2015-05-10,0,0,0,3,0
2531,M2566,2013-05-06,VALID,PWR,Open,Female,Northern,RENTED,59.0,Three Full Years,3.0,0.0,4.0,2015-05-06,0,0,0,3,0
2532,M2567,2013-05-07,VALID,CNN,Open,Male,Northern,RENTED,64.0,Three Full Years,3.0,0.0,7.0,2015-05-07,0,0,0,3,0
2533,M2568,2013-05-19,VALID,CNN,Open,Male,Eastern,RENTED,,Three Full Years,3.0,0.0,4.0,2015-05-19,0,0,0,3,0
2534,M2569,2013-05-08,VALID,PRR,Open,Female,Northern,RENTED,24.0,Three Full Years,2.0,8.0,4.0,2015-05-08,0,0,0,3,0
2535,M2570,2013-05-05,VALID,CNN,Open,,Eastern,RENTED,,Three Full Years,,,,2015-05-05,0,0,3,2,0
2536,M2571,2013-05-08,VALID,PPL,Open,Male,Northern,RENTED,,Three Full Years,4.0,0.0,4.0,2015-05-08,0,0,4,3,0
2537,M2572,2013-05-12,VALID,PWR,Open,Female,Southern,RENTED,39.0,Three Full Years,4.0,0.0,12.0,2015-05-12,0,0,0,3,0
2538,M2573,2013-05-07,VALID,CNN,Open,Female,Eastern,RENTED,20.0,Three Full Years,5.0,0.0,1.0,2015-07-07,0,0,1,3,0
2539,M2574,2013-05-12,VALID,PPL,Open,Female,Northern,RENTED,51.0,Three Full Years,7.0,0.0,21.0,2015-11-12,0,0,0,3,0
2540,M2575,2013-05-11,VALID,CNN,Open,,Eastern,RENTED,,Three Full Years,,,,2015-05-11,0,0,0,3,0
2541,M2576,2013-05-07,VALID,CNN,Open,,Northern,RENTED,,Three Full Years,,,,2015-05-07,0,0,0,3,2
2542,M2577,2013-05-16,VALID,PWR,Open,Female,Eastern,RENTED,68.0,Three Full Years,4.0,0.0,12.0,2015-05-16,0,0,0,3,0
2543,M2578,2013-07-14,VALID,CNN,Closed,,Western,BOUGHT,,,,,,,0,0,0,0,0
2544,M2579,2013-05-08,VALID,CNN,Open,Female,Eastern,RENTED,41.0,Three Full Years,6.0,0.0,12.0,2015-05-08,0,0,0,3,0
2545,M2580,2013-05-08,VALID,PPL,Open,Male,Northern,RENTED,34.0,Three Full Years,6.0,0.0,4.0,2015-05-08,0,0,0,3,0
2546,M2581,2013-05-08,VALID,PWR,Open,Female,Eastern,RENTED,49.0,Three Full Years,5.0,0.0,22.0,2015-05-08,0,0,0,3,0
2547,M2582,2013-05-10,VALID,CNN,Open,,Northern,RENTED,,Three Full Years,,,,2015-05-10,0,0,0,3,0
2548,M2583,2013-05-13,VALID,CNN,Open,Male,Eastern,RENTED,41.0,Three Full Years,6.0,0.0,21.0,2015-05-13,2015-04-13 00:00:00,1,0,3,0
2549,M2584,2013-05-31,INVALID,PRP,Closed,,Northern,RENTED,,,,,,,0,0,0,3,0
2550,M2585,2013-05-08,VALID,POP,Open,Male,Northern,RENTED,42.0,Three Full Years,2.0,5.0,22.0,2015-05-08,0,0,0,3,0
2551,M2586,2013-05-26,VALID,KLA,Open,Female,Western,RENTED,55.0,Three Full Years,6.0,6.0,7.0,2015-10-26,0,0,0,0,0
2552,M2587,2013-05-09,VALID,CNN,Open,Female,Northern,RENTED,48.0,Three Full Years,5.0,0.0,21.0,2015-05-09,0,0,4,3,1
2553,M2588,2013-05-09,VALID,CNN,Open,Male,Eastern,RENTED,30.0,Three Full Years,2.0,0.0,7.0,2015-05-09,0,0,1,3,0
2554,M2589,2013-05-14,VALID,CNN,Closed,Male,Eastern,RENTED,55.0,,6.0,0.0,17.0,,0,0,0,0,0
2555,M2590,2013-05-09,VALID,PWR,Open,Male,Eastern,BOUGHT,27.0,Three Full Years,4.0,0.0,4.0,2015-10-09,0,0,0,0,0
2556,M2591,2013-05-09,VALID,PWM,Open,,Northern,RENTED,,Three Full Years,,,,2015-05-09,0,0,1,3,1
2557,M2592,2013-05-10,VALID,PWR,Open,Male,Northern,RENTED,57.0,Three Full Years,4.0,0.0,12.0,2015-05-10,0,0,0,3,0
2558,M2593,2013-05-12,VALID,CNN,Open,Male,Northern,RENTED,83.0,Three Full Years,6.0,14.0,22.0,2015-05-12,0,0,0,3,0
2559,M2594,2013-05-15,VALID,PWR,Open,Male,Western,BOUGHT,54.0,Three Full Years,3.0,5.0,7.0,2015-05-15,0,0,0,3,0
2560,M2595,2013-05-11,VALID,PRM,Open,Female,Eastern,RENTED,51.0,Three Full Years,6.0,0.0,22.0,2015-05-11,0,0,3,3,0
2561,M2596,2013-05-11,VALID,MXX,Open,,Eastern,RENTED,,Three Full Years,,,,2015-05-11,0,0,3,3,0
2562,M2597,2013-05-24,VALID,POP,Open,Male,Eastern,RENTED,50.0,Three Full Years,1.0,0.0,4.0,2015-05-24,0,0,0,3,0
2563,M2598,2013-05-12,VALID,CNN,Open,,Southern,RENTED,,Three Full Years,,,,2015-05-12,0,0,0,3,0
2564,M2599,2013-05-14,VALID,CNN,Open,Male,Eastern,RENTED,33.0,Three Full Years,6.0,0.0,17.0,2015-05-14,0,0,0,3,0
2565,M2600,2013-05-14,VALID,CHC,Open,,Northern,RENTED,,Three Full Years,,,,2015-05-14,0,0,1,3,0
2566,M2601,2013-05-16,VALID,PWR,Open,Male,Eastern,RENTED,46.0,Three Full Years,4.0,0.0,12.0,2015-05-16,0,0,0,3,0
2567,M2602,2013-05-19,VALID,CNN,Open,Female,Northern,RENTED,42.0,Three Full Years,3.0,0.0,4.0,2015-05-19,0,0,0,3,0
2568,M2603,2013-05-14,VALID,PRM,Open,Male,Northern,RENTED,48.0,Three Full Years,3.0,18.0,4.0,2015-05-14,0,0,0,3,0
2569,M2604,2013-05-12,VALID,CNN,Open,Female,Eastern,RENTED,59.0,Three Full Years,8.0,14.0,17.0,2015-05-12,0,0,0,3,0
2570,M2605,2013-05-25,VALID,CNN,Open,Male,Eastern,RENTED,49.0,Three Full Years,8.0,6.0,22.0,2015-10-25,0,0,0,3,0
2571,M2606,2013-05-15,VALID,PRR,Closed,Male,Eastern,RENTED,68.0,,6.0,0.0,22.0,,0,0,0,1,0
2572,M2607,2013-05-13,VALID,CNN,Open,Male,Northern,RENTED,53.0,Three Full Years,7.0,0.0,17.0,2015-05-13,0,0,0,3,0
2573,M2608,2013-05-18,VALID,PWR,Open,Female,Eastern,RENTED,34.0,Three Full Years,6.0,8.0,12.0,2015-05-18,0,0,0,3,0
2574,M2609,2013-05-14,VALID,KLA,Open,Male,Northern,RENTED,39.0,Three Full Years,5.0,0.0,1.0,2015-05-14,0,0,0,3,0
2575,M2610,2013-05-18,VALID,PRP,Open,Female,Eastern,RENTED,65.0,Three Full Years,2.0,6.0,22.0,2015-08-18,0,0,1,3,0
2576,M2611,2013-05-19,VALID,PRR,Open,Male,Northern,RENTED,40.0,Three Full Years,3.0,6.0,22.0,2015-05-19,0,0,1,3,0
2577,M2612,2013-05-18,VALID,PRR,Open,Female,Northern,RENTED,,Three Full Years,4.0,0.0,4.0,2015-05-18,0,0,0,3,0
2578,M2613,2013-05-15,VALID,PRR,Open,Male,Eastern,BOUGHT,55.0,Three Full Years,13.0,0.0,17.0,2015-05-15,0,0,1,3,0
2579,M2614,2013-05-18,VALID,CNN,Open,Female,Northern,RENTED,65.0,Three Full Years,3.0,0.0,4.0,2015-05-18,0,0,0,3,0
2580,M2615,2013-05-15,VALID,PRM,Open,Female,Northern,RENTED,28.0,Three Full Years,5.0,0.0,12.0,2015-05-15,0,0,0,3,0
2581,M2616,2013-05-24,VALID,CHC,Closed,Female,Eastern,RENTED,50.0,,6.0,14.0,7.0,,0,0,0,3,0
2582,M2617,2013-05-17,VALID,PWR,Open,Male,Eastern,RENTED,47.0,Three Full Years,4.0,0.0,17.0,2015-05-17,0,0,0,3,0
2583,M2618,2013-05-16,VALID,POP,Open,Male,Northern,RENTED,47.0,Three Full Years,7.0,5.0,22.0,2015-05-16,0,0,1,3,0
2584,M2619,2013-05-19,VALID,PWR,Open,Male,Northern,RENTED,59.0,Three Full Years,4.0,0.0,4.0,2015-05-19,0,0,0,3,0
2585,M2620,2013-06-04,VALID,CNN,Open,Male,Northern,RENTED,63.0,Three Full Years,6.0,0.0,12.0,2015-06-04,0,0,3,3,0
2586,M2621,2013-05-19,VALID,PRM,Open,Male,Eastern,BOUGHT,17.0,Three Full Years,6.0,0.0,4.0,2015-05-19,0,0,0,3,0
2587,M2622,2013-05-17,VALID,PPL,Open,Male,Northern,RENTED,36.0,Three Full Years,3.0,5.0,4.0,2015-05-17,0,0,0,3,0
2588,M2623,2013-05-18,VALID,PRM,Open,Female,Eastern,RENTED,,Three Full Years,3.0,0.0,7.0,2015-05-18,0,0,0,3,0
2589,M2624,2013-06-01,INVALID,CNN,Open,Female,Northern,RENTED,45.0,Three Full Years,6.0,6.0,22.0,2015-06-01,0,0,0,2,0
2590,M2625,2013-05-20,VALID,CNN,Open,Female,Western,RENTED,60.0,Three Full Years,1.0,13.0,22.0,2015-05-20,0,0,0,3,0
2591,M2626,2013-05-25,VALID,PRM,Open,Male,Eastern,RENTED,53.0,Three Full Years,7.0,0.0,7.0,2015-05-25,0,0,0,3,0
2592,M2627,2013-05-17,VALID,CNN,Open,Male,Eastern,RENTED,64.0,Three Full Years,4.0,0.0,7.0,2015-05-17,0,0,1,3,0
2593,M2628,2013-05-17,VALID,POP,Open,Male,Northern,RENTED,43.0,Three Full Years,6.0,0.0,17.0,2015-05-17,0,0,0,3,0
2594,M2629,2013-05-17,INVALID,PWM,Open,,Eastern,RENTED,,Three Full Years,,,,2015-08-17,0,0,0,3,0
2595,M2630,2013-05-17,VALID,PWR,Open,Female,Northern,RENTED,23.0,Three Full Years,6.0,0.0,7.0,2015-05-17,0,0,1,3,0
2596,M2631,2013-05-20,INVALID,CNN,Open,Male,Eastern,RENTED,62.0,Three Full Years,4.0,0.0,21.0,2015-05-20,0,0,0,3,0
2597,M2632,2013-05-17,VALID,PWR,Open,Female,Western,RENTED,53.0,Three Full Years,5.0,5.0,12.0,2015-05-17,0,0,0,3,0
2598,M2633,2013-05-19,VALID,KLA,Open,Male,Eastern,RENTED,45.0,Three Full Years,5.0,0.0,4.0,2015-05-19,0,0,1,3,0
2599,M2634,2013-05-18,VALID,PWR,Open,Female,Northern,RENTED,41.0,Three Full Years,3.0,10.0,21.0,2015-05-18,0,0,3,3,0
2600,M2635,2013-05-23,VALID,PWM,Open,Female,Northern,RENTED,36.0,Three Full Years,8.0,8.0,17.0,2015-05-23,0,0,0,3,0
2601,M2636,2013-05-29,VALID,PRR,Open,Female,Northern,RENTED,39.0,Three Full Years,4.0,0.0,4.0,2015-05-29,0,0,0,3,0
2602,M2637,2013-05-18,VALID,POP,Open,Male,Southern,RENTED,60.0,Three Full Years,1.0,0.0,4.0,2015-05-18,0,0,2,3,0
2603,M2638,2013-05-23,VALID,CNN,Open,,Eastern,RENTED,,Three Full Years,,,,2015-05-23,0,0,0,3,0
2604,M2639,2013-06-01,VALID,PRM,Open,Male,Eastern,RENTED,38.0,Three Full Years,3.0,0.0,22.0,2015-06-01,0,0,3,3,0
2605,M2640,2013-05-19,VALID,CNN,Open,,Eastern,RENTED,,Three Full Years,,,,2015-05-19,0,0,3,3,2
2606,M2641,2013-05-21,VALID,PWR,Open,Male,Eastern,RENTED,31.0,Three Full Years,2.0,0.0,4.0,2015-05-21,0,0,1,3,3
2607,M2642,2013-05-21,VALID,CNN,Open,Female,Northern,RENTED,56.0,Three Full Years,6.0,0.0,12.0,2015-05-21,2015-05-19 00:00:00,1,0,3,0
2608,M2643,2013-05-29,VALID,PWR,Open,,Southern,RENTED,,Three Full Years,,,,2015-10-29,2015-05-03 00:00:00,1,0,3,0
2609,M2644,2013-05-20,VALID,CNN,Open,Male,Eastern,RENTED,38.0,Three Full Years,5.0,0.0,12.0,2015-05-20,0,0,0,3,0
2610,M2645,2013-05-19,INVALID,CNN,Open,Male,Eastern,BOUGHT,36.0,Three Full Years,5.0,0.0,7.0,2015-05-19,0,0,0,3,0
2611,M2646,2013-05-25,VALID,PWR,Open,Female,Northern,RENTED,65.0,Three Full Years,4.0,0.0,12.0,2015-05-15,0,0,0,3,0
2612,M2647,2013-05-21,VALID,CNN,Open,Female,Western,RENTED,29.0,Three Full Years,5.0,0.0,2.0,2015-05-21,0,0,0,3,0
2613,M2648,2013-05-22,VALID,CNN,Open,Male,Eastern,RENTED,49.0,Three Full Years,3.0,0.0,4.0,2015-05-22,2015-05-20 00:00:00,1,1,3,0
2614,M2649,2013-05-26,VALID,PWR,Open,,Western,RENTED,,Three Full Years,,,,2015-06-03,0,0,2,2,1
2615,M2650,2013-05-22,VALID,POP,Open,Male,Northern,RENTED,52.0,Three Full Years,5.0,0.0,4.0,2015-05-22,0,0,0,3,0
2616,M2651,2013-05-22,VALID,CNN,Open,Female,Northern,RENTED,75.0,Three Full Years,3.0,13.0,22.0,2015-05-22,0,0,0,3,0
2617,M2652,2013-05-22,VALID,PWR,Open,Female,Western,RENTED,47.0,Three Full Years,5.0,9.0,21.0,2015-05-22,0,0,0,2,0
2618,M2653,2013-05-23,VALID,CNN,Open,Female,Northern,RENTED,56.0,Three Full Years,6.0,5.0,22.0,2015-05-23,0,0,0,3,0
2619,M2654,2013-05-31,VALID,KLA,Open,Female,Southern,RENTED,36.0,Three Full Years,5.0,0.0,4.0,2015-05-31,0,0,2,3,0
2620,M2655,2013-05-24,VALID,POP,Open,Female,Northern,RENTED,67.0,Three Full Years,7.0,14.0,17.0,2015-05-24,0,0,0,3,0
2621,M2656,2013-05-23,VALID,KLA,Open,Male,Eastern,BOUGHT,54.0,Three Full Years,5.0,0.0,17.0,2015-05-23,0,0,0,3,0
2622,M2657,2013-05-24,VALID,PRM,Open,Male,Northern,RENTED,36.0,Three Full Years,4.0,0.0,7.0,2015-05-24,0,0,2,3,0
2623,M2658,2013-05-26,VALID,POP,Open,,Western,RENTED,,Three Full Years,,,,2015-05-26,0,0,0,3,0
2624,M2659,2013-05-25,VALID,MXX,Closed,Female,Eastern,RENTED,51.0,,4.0,0.0,4.0,,0,0,0,0,0
2625,M2660,2013-05-31,VALID,POP,Open,Male,Western,BOUGHT,70.0,Three Full Years,3.0,14.0,7.0,2015-05-31,0,0,0,3,0
2626,M2661,2013-05-25,VALID,CNN,Open,Male,Northern,RENTED,51.0,Three Full Years,3.0,0.0,7.0,2015-05-25,0,0,6,2,2
2627,M2662,2013-05-26,VALID,KLA,Open,Male,Eastern,BOUGHT,41.0,Three Full Years,3.0,0.0,7.0,2015-05-28,2015-05-26 00:00:00,1,2,3,0
2628,M2663,2013-05-30,VALID,CNN,Open,Male,Eastern,RENTED,18.0,Three Full Years,3.0,0.0,4.0,2015-05-30,0,0,0,3,1
2629,M2664,2013-06-01,VALID,PRP,Open,Female,Northern,RENTED,65.0,Three Full Years,4.0,0.0,12.0,2015-06-01,0,0,0,3,1
2630,M2665,2013-05-30,VALID,CNN,Open,Male,Eastern,RENTED,34.0,Three Full Years,3.0,0.0,12.0,2015-05-30,0,0,0,3,0
2631,M2666,2013-05-30,VALID,ESS,Open,Male,Eastern,RENTED,51.0,Three Full Years,5.0,6.0,12.0,2015-05-30,0,0,1,3,0
2632,M2667,2013-06-08,VALID,PWR,Open,Female,Eastern,RENTED,28.0,Three Full Years,3.0,5.0,17.0,2015-06-08,0,0,0,3,0
2633,M2668,2013-05-30,VALID,PWR,Open,Female,Northern,RENTED,67.0,Three Full Years,4.0,0.0,7.0,2015-05-30,2015-05-28 00:00:00,1,2,3,0
2634,M2669,2013-06-05,VALID,CNN,Open,,Eastern,RENTED,,Three Full Years,,,,2015-06-05,0,0,0,3,0
2635,M2670,2013-05-30,VALID,PRM,Open,Male,Northern,RENTED,58.0,Three Full Years,3.0,0.0,7.0,2015-05-30,2015-05-28 00:00:00,1,0,3,0
2636,M2671,2013-05-30,VALID,PWR,Open,,Eastern,RENTED,,Three Full Years,,,,2015-05-30,0,0,0,3,0
2637,M2672,2013-06-11,VALID,PPL,Closed,Male,Eastern,RENTED,,,6.0,0.0,4.0,,0,0,0,0,0
2638,M2673,2013-05-30,VALID,PWR,Open,Female,Northern,RENTED,39.0,Three Full Years,4.0,0.0,4.0,2015-05-30,0,0,2,2,0
2639,M2674,2013-06-02,VALID,MXX,Open,Male,Southern,RENTED,43.0,Three Full Years,6.0,0.0,4.0,2015-06-02,2015-05-01 00:00:00,1,0,3,0
2640,M2675,2013-06-07,VALID,CNN,Open,Female,Northern,RENTED,66.0,Three Full Years,3.0,5.0,22.0,2015-06-12,0,0,2,3,0
2641,M2676,2013-05-30,VALID,PPL,Open,Male,Eastern,RENTED,60.0,Three Full Years,7.0,6.0,12.0,2015-05-30,0,0,3,2,0
2642,M2677,2013-05-30,VALID,PRM,Open,Female,Northern,RENTED,42.0,Three Full Years,5.0,6.0,21.0,2015-05-30,2015-05-04 00:00:00,1,0,3,0
2643,M2678,2013-05-30,VALID,CHC,Open,Female,Eastern,BOUGHT,26.0,Three Full Years,3.0,0.0,17.0,2015-05-30,0,0,2,3,0
2644,M2679,2013-06-01,VALID,PRP,Closed,Male,Eastern,RENTED,,,3.0,0.0,4.0,,2015-05-10 00:00:00,1,2,1,0
2645,M2680,2013-05-29,VALID,POP,Open,,Northern,RENTED,,Three Full Years,,,,2015-05-29,0,0,0,3,0
2646,M2681,2013-05-30,VALID,POP,Open,Male,Northern,RENTED,44.0,Three Full Years,6.0,0.0,12.0,2015-05-30,2015-05-28 00:00:00,1,1,3,1
2647,M2682,2013-06-05,VALID,CNN,Open,Female,Northern,RENTED,96.0,Three Full Years,3.0,8.0,21.0,2015-06-05,0,0,1,3,1
2648,M2683,2013-06-02,VALID,CNN,Open,,Eastern,RENTED,,Three Full Years,,,,2015-06-02,0,0,0,3,0
2649,M2684,2013-05-31,VALID,CNN,Open,,Northern,RENTED,,Three Full Years,,,,2015-05-31,0,0,0,3,0
2650,M2685,2013-06-01,VALID,CNN,Open,,Eastern,RENTED,,Three Full Years,,,,2015-06-01,0,0,0,3,0
2651,M2686,2013-07-05,VALID,CNN,Closed,,Eastern,RENTED,,,,,,,0,0,1,1,0
2652,M2687,2013-06-02,VALID,KLA,Open,Female,Northern,RENTED,58.0,Three Full Years,5.0,2.0,21.0,2015-06-02,0,0,0,3,0
2653,M2688,2013-06-03,VALID,CNN,Open,Male,Northern,RENTED,26.0,Three Full Years,5.0,0.0,4.0,2015-06-03,0,0,3,3,0
2654,M2689,2013-06-07,VALID,PWR,Open,,Eastern,BOUGHT,,Three Full Years,,,,2015-07-02,0,0,0,0,0
2655,M2690,2013-05-31,VALID,CNN,Open,Female,Eastern,RENTED,30.0,Three Full Years,4.0,5.0,17.0,2015-05-31,0,0,2,3,0
2656,M2691,2013-06-01,VALID,POP,Open,Male,Eastern,RENTED,44.0,Three Full Years,6.0,0.0,22.0,2015-06-01,0,0,0,3,0
2657,M2692,2013-06-04,VALID,PPL,Open,Male,Northern,RENTED,59.0,Three Full Years,3.0,20.0,17.0,2015-06-04,0,0,0,3,0
2658,M2693,2013-06-06,VALID,PRP,Open,Male,Western,RENTED,39.0,Three Full Years,4.0,0.0,4.0,2015-06-06,0,0,0,3,0
2659,M2694,2013-06-02,VALID,PRR,Open,Male,Eastern,RENTED,,Three Full Years,4.0,0.0,7.0,2015-06-02,2015-04-04 00:00:00,1,4,2,0
2660,M2695,2013-06-02,VALID,PPL,Closed,Male,Southern,RENTED,,,3.0,0.0,12.0,,0,0,2,3,0
2661,M2696,2013-06-08,VALID,PWR,Open,,Western,RENTED,,Three Full Years,,,,2015-06-08,0,0,0,3,0
2662,M2697,2013-06-04,VALID,CHC,Open,Female,Eastern,RENTED,23.0,Three Full Years,3.0,0.0,7.0,2015-06-04,2015-05-17 00:00:00,1,0,3,0
2663,M2698,2013-06-02,VALID,CNN,Open,Female,Northern,RENTED,53.0,Three Full Years,4.0,0.0,21.0,2015-06-02,0,0,0,3,0
2664,M2699,2013-06-05,VALID,PRP,Open,Female,Eastern,RENTED,47.0,Three Full Years,3.0,6.0,21.0,2015-06-05,0,0,0,3,0
2665,M2700,2013-06-05,VALID,KLA,Open,Female,Eastern,RENTED,57.0,Three Full Years,4.0,0.0,22.0,2015-06-05,0,0,1,3,1
2666,M2701,2013-06-07,INVALID,CNN,Open,Male,Northern,RENTED,91.0,Three Full Years,4.0,0.0,4.0,2015-06-07,0,0,0,3,0
2667,M2702,2013-06-11,VALID,KLA,Open,Female,Eastern,RENTED,59.0,Three Full Years,3.0,9.0,21.0,2015-06-11,0,0,0,3,0
2668,M2703,2013-06-06,VALID,CNN,Open,Female,Eastern,RENTED,57.0,Three Full Years,4.0,0.0,22.0,2015-06-06,0,0,3,3,1
2669,M2704,2013-06-05,VALID,PWR,Open,Female,Northern,RENTED,54.0,Three Full Years,3.0,0.0,7.0,2015-06-05,0,0,2,3,1
2670,M2705,2013-06-07,VALID,PRR,Open,Male,Eastern,RENTED,24.0,Three Full Years,3.0,0.0,4.0,2015-06-17,0,0,1,3,0
2671,M2706,2013-06-06,VALID,PRM,Open,,Northern,RENTED,,Three Full Years,,,,2015-06-06,0,0,0,3,0
2672,M2707,2013-06-08,VALID,PWR,Open,Male,Northern,RENTED,,Three Full Years,4.0,0.0,12.0,2015-06-08,0,0,0,3,0
2673,M2708,2013-06-12,VALID,POP,Open,,Northern,BOUGHT,,Three Full Years,3.0,0.0,1.0,2015-06-12,0,0,1,2,1
2674,M2709,2013-06-08,VALID,CNN,Open,Male,Eastern,RENTED,66.0,Three Full Years,4.0,20.0,22.0,2015-07-08,0,0,0,3,0
2675,M2710,2013-06-12,VALID,CNN,Open,Male,Eastern,RENTED,64.0,Three Full Years,3.0,0.0,12.0,2015-06-12,0,0,0,3,0
2676,M2711,2013-06-08,VALID,CNN,Open,Male,Eastern,RENTED,47.0,Three Full Years,2.0,0.0,7.0,2015-06-08,0,0,0,3,0
2677,M2712,2013-06-12,INVALID,CNN,Open,Female,Eastern,RENTED,72.0,Three Full Years,4.0,0.0,21.0,2015-06-12,0,0,0,3,0
2678,M2713,2013-06-11,VALID,KLA,Open,,Western,RENTED,,Three Full Years,,,,2015-06-11,0,0,0,3,0
2679,M2714,2013-06-08,VALID,CNN,Open,Female,Northern,RENTED,66.0,Three Full Years,3.0,0.0,7.0,2015-06-08,0,0,0,3,0
2680,M2715,2013-06-11,VALID,POP,Open,Male,Northern,RENTED,67.0,Three Full Years,3.0,20.0,17.0,2015-06-11,0,0,0,3,0
2681,M2716,2013-07-10,VALID,PRP,Open,Male,Eastern,RENTED,63.0,Three Full Years,6.0,0.0,21.0,2015-07-10,0,0,2,3,0
2682,M2717,2013-06-09,VALID,CNN,Open,Male,Northern,RENTED,51.0,Three Full Years,3.0,0.0,17.0,2015-06-09,0,0,0,3,0
2683,M2718,2013-06-08,VALID,PWR,Open,Female,Northern,RENTED,62.0,Three Full Years,4.0,0.0,7.0,2015-06-08,0,0,0,3,0
2684,M2719,2013-06-09,VALID,POP,Open,Female,Northern,RENTED,30.0,Three Full Years,2.0,0.0,17.0,2015-06-09,0,0,3,3,0
2685,M2720,2013-06-12,VALID,CNN,Open,Male,Eastern,RENTED,47.0,Three Full Years,6.0,0.0,17.0,2015-06-12,0,0,0,3,0
2686,M2721,2013-06-09,VALID,PPL,Open,,Western,RENTED,,Three Full Years,,,,2015-06-09,2015-05-07 00:00:00,1,2,3,3
2687,M2722,2013-06-11,VALID,KLA,Open,Male,Southern,RENTED,41.0,Three Full Years,7.0,0.0,17.0,2015-06-11,0,0,1,3,0
2688,M2723,2013-06-12,VALID,PPL,Open,Female,Southern,RENTED,56.0,,5.0,0.0,4.0,,0,0,2,3,0
2689,M2724,2013-06-09,VALID,CNN,Open,Female,Northern,RENTED,55.0,Three Full Years,4.0,0.0,17.0,2015-06-09,0,0,2,3,0
2690,M2725,2013-06-12,VALID,CNN,Open,Female,Eastern,RENTED,43.0,Three Full Years,4.0,0.0,17.0,2015-06-12,0,0,0,3,0
2691,M2726,2013-06-12,VALID,PRM,Open,,Northern,RENTED,,Three Full Years,,,,2015-06-12,0,0,0,3,0
2692,M2727,2013-06-11,VALID,CNN,Open,Female,Northern,RENTED,46.0,Three Full Years,5.0,0.0,21.0,2015-06-11,0,0,0,3,0
2693,M2728,2013-06-10,VALID,PWR,Open,,Northern,BOUGHT,,Three Full Years,,,,2015-08-10,0,0,3,1,0
2694,M2729,2013-06-12,VALID,PRR,Open,Female,Northern,RENTED,70.0,Three Full Years,3.0,0.0,4.0,2015-06-12,0,0,0,3,0
2695,M2730,2013-06-16,VALID,KLA,Open,Male,Northern,RENTED,53.0,Three Full Years,5.0,0.0,21.0,2015-06-16,0,0,0,3,0
2696,M2731,2013-06-13,VALID,PWR,Closed,,Eastern,RENTED,,,,,,,0,0,0,2,0
2697,M2732,2013-06-14,VALID,MXX,Open,Female,Northern,RENTED,,Three Full Years,4.0,0.0,4.0,2015-06-14,0,0,0,3,0
2698,M2733,2013-06-12,VALID,PWR,Open,Male,Northern,RENTED,35.0,Three Full Years,3.0,19.0,4.0,2015-06-12,0,0,0,3,0
2699,M2734,2013-06-14,VALID,CNN,Closed,,Eastern,RENTED,,,,,,,0,0,0,3,0
2700,M2735,2013-07-07,VALID,CNN,Open,Female,Eastern,RENTED,37.0,Three Full Years,3.0,0.0,4.0,2015-07-07,2015-05-05 00:00:00,1,0,3,0
2701,M2736,2013-06-12,VALID,MXX,Open,,Eastern,RENTED,,Three Full Years,,,,2015-06-12,0,0,0,3,0
2702,M2737,2013-06-15,VALID,CNN,Open,,Northern,RENTED,,Three Full Years,,,,2015-06-15,0,0,0,3,0
2703,M2738,2013-06-12,VALID,PRR,Open,Female,Northern,RENTED,50.0,Three Full Years,6.0,2.0,17.0,2015-06-12,0,0,2,3,0
2704,M2739,2013-06-13,VALID,PPL,Open,Male,Eastern,RENTED,65.0,Three Full Years,3.0,14.0,7.0,2015-06-13,0,0,0,3,0
2705,M2740,2013-06-13,INVALID,CHC,Open,Female,Eastern,BOUGHT,48.0,Three Full Years,3.0,0.0,12.0,2015-06-13,0,0,0,3,0
2706,M2741,2013-06-13,VALID,PRM,Open,Female,Eastern,BOUGHT,39.0,Three Full Years,3.0,0.0,21.0,2015-06-13,0,0,0,3,0
2707,M2742,2013-06-17,VALID,POP,Open,,Eastern,RENTED,,Three Full Years,,,,2015-06-17,0,0,2,3,0
