,Account Number,Address,Scheme,Staus,Gender,Region,Sale.of.Equipment.Status,Age,Equipment.Warranty,Salary.Slab,Professional.Info,Age.of.Home,Categ,Query_freq,Realization_monnos,Default_number,Commence_year,Commence_month,Commence_day,Warrenty_year,Warrenty_month,Warrenty_day,Cardtype,schemecost,defaultsum,Hours,Posthours,daraGB,Default,query_days,usage_number,CommenceDays,Warrentydays
1077,M1087,VALID,PWR,Open,Female,Western,RENTED,33.0,Three Full Years,3,0,7,0,0,3,0,2012,5,4,2015,4,4, Card I TYPE,3011,882,6057,1101,4155,0,0,3,1061,-4
1078,M1088,VALID,PWR,Open,Female,Northern,BOUGHT,16.0,Three Full Years,4,0,7,0,0,3,0,2012,5,22,2015,3,22, Card II TYPE,2437,882,2724,1,2350,0,0,3,1043,8
1079,M1090,VALID,PWR,Open,Female,Northern,RENTED,63.0,Three Full Years,4,0,17,0,0,2,0,2012,5,2,2015,4,1, Card II TYPE,2396,882,1083,1,839,0,0,3,1063,-1
1080,M1091,VALID,MXX,Open,Male,Northern,RENTED,44.79533333,Three Full Years,4,0,7,0,9,2,2,2012,5,9,2015,3,6, Card II TYPE,918,593,4266,420,4913,0,43,3,1056,24
1081,M1092,VALID,MXX,Open,Female,Northern,RENTED,25.0,Three Full Years,7,0,7,0,0,3,0,2012,5,3,2015,4,3, Card II TYPE,876,882,5718,1,3920,0,0,3,1062,-3
1082,M1094,VALID,PWR,Open,Male,Northern,BOUGHT,50.0,Three Full Years,8,6,12,0,0,3,0,2012,5,12,2015,3,12, Card II TYPE,2034,882,5053,1,2479,0,0,3,1053,18
1083,M1096,VALID,PWR,Open,Female,Northern,BOUGHT,34.0,Three Full Years,5,0,12,0,0,3,0,2012,5,4,2015,4,4, Card II TYPE,2021,882,1532,1,60,0,0,3,1061,-4
1084,M1097,VALID,PPL,Open,Female,Northern,RENTED,63.0,Three Full Years,3,0,7,0,3,3,0,2012,5,4,2015,4,4, Card II TYPE,2989,882,2414,1,743,0,60,3,1061,-4
1085,M1098,VALID,PWR,Open,Male,Northern,RENTED,62.0,Three Full Years,2,6,7,0,0,3,0,2012,5,4,2015,4,4, Card II TYPE,2352,882,6004,1,885,0,0,3,1061,-4
1086,M1099,VALID,PWR,Open,Male,Eastern,RENTED,56.0,Three Full Years,8,5,17,0,0,3,0,2012,5,6,2015,3,6, Card II TYPE,2974,882,3180,1,5525,0,0,3,1059,24
1087,M1101,VALID,KLA,Open,Female,Western,RENTED,48.0,Three Full Years,3,5,12,0,2,3,0,2012,5,8,2015,3,8, Card II TYPE,1184,882,4153,1,4196,0,32,3,1057,22
1088,M1102,VALID,PWR,Open,Female,Northern,RENTED,72.0,Three Full Years,5,14,17,0,0,2,1,2012,5,13,2015,3,13, Card II TYPE,2496,544,517,1,948,0,0,3,1052,17
1089,M1103,VALID,PWR,Open,Female,Northern,RENTED,47.0,Three Full Years,4,0,17,0,0,3,0,2012,5,11,2015,3,11, Card I TYPE,2375,882,7845,664,2694,0,0,3,1054,19
1090,M1104,VALID,PRP,Open,Female,Western,RENTED,26.0,Three Full Years,4,12,4,0,0,3,0,2012,5,10,2015,3,10, Card II TYPE,2952,882,5288,1,6676,0,0,3,1055,20
1091,M1105,VALID,PRR,Open,Male,Eastern,BOUGHT,47.6425,Three Full Years,6,0,12,0,3,3,1,2012,5,12,2015,3,12, Card II TYPE,2412,520,4359,1,6151,0,45,3,1053,18
1092,M1106,VALID,PWR,Open,Female,Eastern,RENTED,61.0,Three Full Years,4,5,22,0,0,3,0,2012,5,10,2015,3,10, Card II TYPE,2398,882,6428,325,4821,0,0,3,1055,20
1093,M1107,VALID,PWR,Open,Male,Eastern,RENTED,42.0,Three Full Years,4,12,7,0,0,3,0,2012,5,9,2015,3,9, Card II TYPE,3215,882,4274,399,3200,0,0,3,1056,21
1094,M1108,VALID,KLA,Open,Male,Southern,RENTED,45.94,Three Full Years,2,0,7,0,1,3,0,2012,5,10,2015,3,10, Card II TYPE,429,882,6606,1,3326,0,82,3,1055,20
1095,M1109,VALID,PRR,Closed,Female,Northern,RENTED,41.0,Three Full Years,3,0,21,1,8,2,3,2012,5,11,2015,3,31, Card II TYPE,1766,766,293,122,1854,0,33,3,1054,-1
1096,M1110,VALID,PRR,Open,Male,Western,RENTED,71.0,Three Full Years,4,0,17,0,0,3,0,2012,5,11,2015,3,11, Card II TYPE,3223,882,1669,1,3004,0,0,3,1054,19
1097,M1111,VALID,PRP,Open,Male,Eastern,RENTED,47.0,Three Full Years,4,19,21,0,0,3,0,2012,5,13,2015,3,13, Card II TYPE,3184,882,3542,1,1655,0,0,3,1052,17
1098,M1113,VALID,PWR,Open,Male,Northern,RENTED,77.0,Three Full Years,4,0,22,0,0,3,0,2012,5,22,2015,3,22, Card II TYPE,2649,882,2548,1,5922,0,0,3,1043,8
1099,M1114,VALID,CNN,Open,Male,Northern,RENTED,36.0,Three Full Years,5,0,21,0,0,3,0,2012,5,16,2015,3,16, Card II TYPE,1931,882,4452,591,2183,0,0,3,1049,14
1100,M1116,VALID,PWR,Open,Female,Eastern,RENTED,39.0,Three Full Years,8,5,22,0,0,3,0,2012,5,15,2015,3,15, Card II TYPE,2329,882,7401,177,4106,0,0,3,1050,15
1101,M1117,VALID,PWR,Open,Male,Eastern,RENTED,39.0,Three Full Years,6,6,22,0,1,3,1,2012,5,15,2015,3,15, Card II TYPE,3102,718,6180,1,1653,0,10,3,1050,15
1102,M1118,VALID,PWR,Open,Male,Eastern,BOUGHT,67.0,Three Full Years,3,14,12,0,0,3,0,2012,5,17,2015,3,17, Card II TYPE,1873,882,4933,1,1946,0,0,3,1048,13
1103,M1119,VALID,PRM,Open,Male,Eastern,RENTED,70.0,Three Full Years,5,14,22,0,2,3,0,2012,5,15,2015,3,15, Card II TYPE,2375,882,700,704,3086,0,40,3,1050,15
1104,M1120,VALID,PWR,Open,Male,Northern,RENTED,88.0,Three Full Years,5,14,12,0,1,1,1,2012,5,16,2015,3,16,Paper based/Post,1345,727,1625,1,1462,0,41,3,1049,14
1105,M1121,INVALID,PWR,Open,Male,Eastern,RENTED,88.0,Three Full Years,6,0,21,0,0,3,0,2012,5,17,2015,3,17, Card II TYPE,2972,882,7511,373,2985,0,0,3,1048,13
1106,M1122,VALID,PWR,Open,Male,Northern,RENTED,74.0,Three Full Years,4,0,22,0,0,2,0,2013,6,19,2015,4,2, Card II TYPE,2895,882,753,1,4869,0,0,3,651,-2
1107,M1124,VALID,PWM,Open,Male,Eastern,RENTED,34.0,Three Full Years,9,5,22,0,1,3,0,2012,5,18,2015,3,18, Card II TYPE,523,882,5695,1,3137,0,5,3,1047,12
1108,M1126,VALID,PWR,Open,Female,Northern,RENTED,34.0,Three Full Years,5,0,7,0,0,3,0,2012,5,25,2015,3,25, Card II TYPE,2329,882,7315,1,847,0,0,3,1040,5
1109,M1127,VALID,PWR,Open,Male,Northern,RENTED,66.0,Three Full Years,3,0,7,0,0,3,0,2012,5,19,2015,3,19, Card I TYPE,2967,882,8519,1,5053,0,0,2,1046,11
1110,M1128,VALID,PWR,Open,Female,Northern,RENTED,46.59333333,Three Full Years,3,0,7,1,0,3,0,2012,5,18,2015,3,18, Card II TYPE,3096,882,6393,1,3323,0,0,3,1047,12
1111,M1129,VALID,PRP,Closed,Female,Northern,BOUGHT,45.0,Three Full Years,6,10,22,0,1,2,0,2012,5,22,2015,3,31, Card II TYPE,540,882,307,1,1,0,17,3,1043,-1
1112,M1130,VALID,PWR,Open,Male,Eastern,RENTED,46.78,Three Full Years,4,0,7,0,0,3,0,2012,5,23,2015,3,23, Card II TYPE,2356,882,1245,965,1512,0,0,3,1042,7
1113,M1131,VALID,PRR,Open,Male,Northern,RENTED,51.70333333,Three Full Years,4,0,12,0,0,3,0,2012,5,19,2015,3,19, Card II TYPE,3096,882,332,1,5565,0,0,3,1046,11
1114,M1132,VALID,PWM,Open,Male,Northern,RENTED,48.08404762,Three Full Years,4,0,7,0,0,3,0,2012,5,28,2015,3,28, Card II TYPE,841,882,1954,1,3368,0,0,3,1037,2
1115,M1133,INVALID,PPL,Open,Female,Northern,BOUGHT,64.0,Three Full Years,3,13,12,0,1,2,1,2012,5,19,2015,3,19, Card II TYPE,1873,323,2644,204,2687,0,14,3,1046,11
1116,M1135,VALID,PRM,Open,Male,Eastern,RENTED,35.0,Three Full Years,7,8,12,0,1,3,0,2012,5,26,2015,3,26, Card II TYPE,2699,882,5774,100,5599,0,87,3,1039,4
1117,M1136,VALID,POP,Open,Male,Northern,RENTED,32.0,Three Full Years,3,10,7,0,0,3,0,2012,5,30,2015,3,30,Paper based/Post,1828,882,3179,1,2503,0,0,3,1035,0
1118,M1137,VALID,PWR,Open,Female,Eastern,BOUGHT,53.0,Three Full Years,4,0,22,0,0,3,0,2012,5,26,2015,3,26, Card II TYPE,2447,882,5105,558,3100,0,0,3,1039,4
1119,M1140,VALID,PRP,Open,Male,Northern,RENTED,36.0,Three Full Years,4,10,17,0,0,3,0,2012,5,23,2015,3,23, Card II TYPE,3206,882,4063,171,6717,0,0,3,1042,7
1120,M1141,VALID,KLA,Open,Male,Northern,BOUGHT,62.0,Three Full Years,1,14,7,0,0,3,0,2012,5,23,2015,3,23, Card II TYPE,1873,882,5162,1,4386,0,0,3,1042,7
1121,M1142,VALID,PWR,Open,Male,Northern,RENTED,29.0,Three Full Years,4,0,7,0,1,3,1,2012,5,23,2015,3,23, Card II TYPE,3096,717,1457,1,5591,0,69,3,1042,7
1122,M1143,VALID,PWR,Open,Male,Western,RENTED,23.0,Three Full Years,5,5,12,0,0,3,0,2012,6,6,2015,3,6, Card II TYPE,2618,882,5394,920,3157,0,0,3,1029,24
1123,M1145,VALID,PWR,Open,Female,Northern,RENTED,85.0,Three Full Years,5,9,17,0,0,3,0,2012,5,24,2015,3,24, Card II TYPE,2741,882,6087,1,1108,0,0,3,1041,6
1124,M1148,VALID,CHC,Open,Female,Northern,RENTED,48.0,Three Full Years,6,9,22,0,2,1,1,2012,5,26,2015,3,24,Paper based/Post,1361,216,8507,1,1162,0,36,2,1039,6
1125,M1149,VALID,PWR,Open,Male,Northern,BOUGHT,66.0,Three Full Years,3,14,7,0,0,3,0,2012,5,29,2015,3,29, Card II TYPE,1873,882,4646,1,1063,0,0,3,1036,1
1126,M1150,VALID,PWR,Open,Male,Northern,RENTED,63.0,Three Full Years,10,0,22,0,4,2,0,2012,5,31,2015,3,31, Card II TYPE,1249,882,2486,1,2384,0,64,3,1034,-1
1127,M1151,INVALID,KLA,Open,Female,Eastern,RENTED,37.0,Three Full Years,4,0,12,0,1,3,0,2012,6,3,2015,3,26, Card II TYPE,354,882,7517,735,6102,0,41,3,1032,4
1128,M1152,VALID,CHC,Open,Female,Northern,RENTED,57.0,Three Full Years,1,9,22,0,0,3,0,2012,5,30,2015,3,30, Card II TYPE,2045,882,6640,746,6023,0,0,3,1035,0
1129,M1153,VALID,PWR,Open,Male,Eastern,RENTED,58.0,Three Full Years,9,13,17,0,0,2,0,2012,6,1,2015,4,1, Card II TYPE,2373,882,8906,1115,6722,0,0,none,1034,-1
1130,M1154,VALID,PRM,Open,Female,Northern,RENTED,53.595,Three Full Years,3,0,22,0,2,3,2,2012,6,2,2015,4,2, Card II TYPE,2381,506,2078,1,1339,0,58,3,1033,-2
1131,M1155,VALID,PRM,Open,Female,Northern,RENTED,55.0,Three Full Years,2,20,21,0,1,3,0,2012,6,11,2015,3,11, Card II TYPE,1701,882,6589,1,1306,0,5,3,1024,19
1132,M1156,VALID,PWR,Open,Male,Northern,RENTED,56.0,Three Full Years,6,0,22,1,2,3,0,2012,6,7,2015,3,7, Card II TYPE,2336,882,180,1,6647,0,19,3,1028,23
1133,M1157,VALID,POP,Open,Male,Eastern,RENTED,50.344,Three Full Years,6,0,17,0,0,3,0,2012,6,2,2015,3,30, Card I TYPE,491,882,6666,1,6178,0,0,3,1033,0
1134,M1158,VALID,POP,Open,Male,Eastern,RENTED,46.0,Three Full Years,6,0,22,0,0,2,0,2012,6,1,2015,4,1, Card II TYPE,3215,882,6687,1,365,0,0,3,1034,-1
1135,M1159,VALID,PWR,Open,Female,Eastern,RENTED,42.0,Three Full Years,4,0,17,0,0,3,0,2012,6,5,2015,4,5, Card II TYPE,2363,882,7971,863,4358,0,0,3,1030,-5
1136,M1160,VALID,KLA,Open,Female,Northern,RENTED,61.0,Three Full Years,4,5,12,0,3,2,0,2012,5,31,2015,3,31, Card I TYPE,3174,882,6945,982,542,0,48,3,1034,-1
1137,M1161,VALID,PWR,Open,Male,Northern,RENTED,56.0,Three Full Years,3,6,7,0,0,3,0,2012,6,15,2015,3,15,Paper based/Post,2634,882,4976,1,3954,0,0,3,1020,15
1138,M1162,VALID,PWM,Open,Male,Eastern,RENTED,51.0,Three Full Years,3,0,7,0,0,3,0,2012,6,9,2015,3,9, Card II TYPE,1083,882,1986,1,2153,0,0,3,1026,21
1139,M1163,VALID,PWR,Open,Female,Western,RENTED,46.87333333,Three Full Years,6,0,7,0,0,3,0,2012,6,5,2015,4,5, Card II TYPE,2952,882,4941,1,2969,0,0,3,1030,-5
1140,M1164,VALID,PWR,Closed,Male,Eastern,BOUGHT,49.53766667,Three Full Years,3,0,7,0,0,1,0,2012,6,7,2015,3,7, Card II TYPE,1873,882,8790,471,1306,0,0,2,1028,23
1141,M1165,VALID,PWR,Open,Male,Western,RENTED,63.0,Three Full Years,8,0,17,1,0,2,0,2012,6,2,2015,4,2, Card II TYPE,3010,882,5509,1,6225,0,0,3,1033,-2
1142,M1167,VALID,PWR,Open,Female,Northern,RENTED,53.0,Three Full Years,3,19,1,1,0,3,0,2012,6,7,2015,3,7, Card II TYPE,2546,882,1194,1,1539,0,0,3,1028,23
1143,M1168,VALID,PWR,Open,Male,Northern,RENTED,55.0,Three Full Years,5,0,17,0,0,2,0,2012,6,5,2015,4,1, Card II TYPE,2581,882,2773,1,480,0,0,3,1030,-1
1144,M1169,VALID,PRM,Open,Male,Northern,RENTED,40.0,Three Full Years,5,0,17,0,1,2,0,2012,6,2,2015,4,1, Card I TYPE,1640,882,4139,327,2370,0,43,3,1033,-1
1145,M1170,INVALID,PRM,Open,Male,Northern,RENTED,74.0,Three Full Years,3,0,7,0,0,2,0,2012,6,7,2015,4,2, Card II TYPE,3325,882,2607,1,4991,0,0,3,1028,-2
1146,M1171,VALID,PWR,Open,Male,Northern,RENTED,52.0,Three Full Years,4,0,12,0,3,3,0,2012,6,9,2015,3,6,Paper based/Post,2811,882,3339,1,1247,0,77,3,1026,24
1147,M1172,VALID,PWR,Open,Female,Northern,RENTED,56.0,Three Full Years,6,6,22,0,0,3,0,2012,6,9,2015,3,9, Card II TYPE,2911,882,5112,1,5844,0,0,3,1026,21
1148,M1173,VALID,PWR,Open,Male,Northern,RENTED,48.0,Three Full Years,3,0,7,0,1,3,0,2012,6,5,2015,4,5, Card II TYPE,2946,882,2151,1,3959,0,27,3,1030,-5
1149,M1175,VALID,KLA,Closed,Male,Western,RENTED,50.18,Three Full Years,6,0,17,0,1,3,0,2012,6,10,2015,3,10, Card II TYPE,492,882,8285,1,5887,0,73,1,1025,20
1150,M1177,VALID,PWR,Open,Female,Eastern,RENTED,70.0,Three Full Years,5,5,12,0,6,3,1,2012,7,5,2015,3,7, Card II TYPE,1930,341,7067,1,2040,0,55,3,1000,23
1151,M1178,VALID,PWR,Closed,Male,Eastern,RENTED,44.6,Three Full Years,4,0,7,0,1,2,0,2012,8,12,2015,3,31, Card II TYPE,2913,882,8906,1115,6722,0,77,none,963,-1
1152,M1179,VALID,POP,Open,Male,Eastern,BOUGHT,48.995,Three Full Years,6,0,17,0,0,3,2,2012,6,7,2015,3,18,Paper based/Post,2795,689,4562,1,3594,0,0,3,1028,12
1153,M1180,VALID,PWR,Open,Male,Western,BOUGHT,57.01333333,Three Full Years,6,14,17,0,0,3,0,2012,6,22,2015,3,22,Paper based/Post,2714,882,7474,1,11,0,0,3,1013,8
1154,M1181,VALID,KLA,Open,Male,Eastern,RENTED,45.0,Three Full Years,3,13,7,1,0,3,0,2012,6,7,2015,4,5, Card II TYPE,222,882,6048,381,6340,0,0,3,1028,-5
1155,M1182,VALID,PWR,Open,Male,Northern,RENTED,63.0,Three Full Years,3,6,21,0,0,3,0,2012,6,8,2015,3,8, Card II TYPE,3188,882,574,404,3035,0,0,3,1027,22
1156,M1183,VALID,POP,Open,Male,Eastern,BOUGHT,50.8425,Three Full Years,3,0,12,0,4,3,0,2012,6,8,2015,3,8, Card II TYPE,697,882,303,1,4643,0,40,3,1027,22
1157,M1184,VALID,PWR,Open,Male,Northern,RENTED,36.0,Three Full Years,6,0,21,0,0,3,0,2012,6,12,2015,3,12, Card II TYPE,2402,882,5455,327,3143,0,0,3,1023,18
1158,M1185,VALID,PRP,Open,Male,Northern,BOUGHT,56.0,Three Full Years,1,0,4,0,2,3,0,2012,6,27,2015,3,27, Card II TYPE,1873,882,1447,1,6650,0,68,3,1008,3
1159,M1186,VALID,PWR,Open,Female,Northern,BOUGHT,48.0,Three Full Years,4,0,22,0,0,3,0,2012,6,10,2015,3,10, Card II TYPE,1707,882,6506,1,737,0,0,3,1025,20
1160,M1187,VALID,PWR,Open,Female,Western,BOUGHT,49.44176471,Three Full Years,5,0,1,0,0,3,0,2012,6,9,2015,3,9, Card II TYPE,1873,882,3834,1,1383,0,0,3,1026,21
1161,M1188,VALID,PWR,Closed,Male,Northern,BOUGHT,52.5775,Three Full Years,3,0,7,0,0,None,0,2012,6,7,2015,3,26,None,3331,882,8906,1115,6722,1,0,none,1028,4
1162,M1189,VALID,PPL,Open,Male,Western,RENTED,43.0,Three Full Years,3,0,7,0,3,3,0,2012,6,8,2015,3,8, Card II TYPE,2952,882,3359,611,3775,0,66,3,1027,22
1163,M1190,VALID,PWM,Open,Female,Western,RENTED,45.07,Three Full Years,6,0,7,0,0,3,0,2012,6,15,2015,3,15, Card II TYPE,746,882,5988,1,5737,0,0,3,1020,15
1164,M1191,VALID,PWR,Open,Female,Eastern,RENTED,54.0,Three Full Years,5,6,22,0,1,3,0,2012,6,13,2015,3,13, Card II TYPE,1776,882,8648,1,6523,0,84,2,1022,17
1165,M1192,VALID,PWR,Open,Male,Eastern,RENTED,25.0,Three Full Years,4,0,12,0,0,3,0,2012,6,22,2015,3,8, Card II TYPE,2902,882,5261,735,3219,0,0,3,1013,22
1166,M1193,VALID,PWR,Open,Male,Northern,RENTED,49.0,Three Full Years,4,6,22,0,3,3,0,2012,6,16,2015,3,8, Card II TYPE,3314,882,7086,1,6144,0,68,3,1019,22
1167,M1194,VALID,PWR,Open,Female,Northern,RENTED,21.0,Three Full Years,4,5,12,0,2,3,0,2012,6,12,2015,3,12, Card II TYPE,3003,882,6499,1,1079,0,84,3,1023,18
1168,M1195,VALID,MXX,Open,Male,Western,BOUGHT,44.97166667,Three Full Years,3,0,12,0,1,3,0,2012,6,15,2015,3,8, Card II TYPE,908,882,4746,570,5801,0,79,3,1020,22
1169,M1196,VALID,PWR,Open,Male,Northern,RENTED,49.0,Three Full Years,3,0,7,0,0,3,0,2012,6,10,2015,3,10, Card II TYPE,2963,882,6527,1,5519,0,0,3,1025,20
1170,M1197,VALID,PWR,Open,Male,Eastern,RENTED,61.0,Three Full Years,1,13,17,0,1,3,0,2012,6,10,2015,3,8, Card II TYPE,2560,882,2462,1,196,0,50,3,1025,22
1171,M1198,VALID,PWR,Open,Male,Eastern,RENTED,49.0,Three Full Years,6,5,7,0,0,3,0,2012,6,16,2015,3,16, Card II TYPE,2367,882,8242,1,41,0,0,3,1019,14
1172,M1199,VALID,POP,Open,Male,Eastern,RENTED,26.0,Three Full Years,5,0,4,1,2,3,0,2012,6,12,2015,3,12, Card II TYPE,16,882,5773,447,5897,0,12,3,1023,18
1173,M1201,VALID,PWR,Open,Female,Northern,RENTED,67.0,Three Full Years,4,0,21,0,0,3,0,2012,6,13,2015,3,13, Card II TYPE,1807,882,8498,1,662,0,0,3,1022,17
1174,M1202,VALID,PWR,Open,Male,Northern,RENTED,59.0,Three Full Years,3,0,7,0,0,3,0,2012,6,14,2015,3,14, Card II TYPE,2539,882,577,1,6143,0,0,3,1021,16
1175,M1203,VALID,PWR,Open,Female,Northern,RENTED,33.0,Three Full Years,7,0,21,0,0,3,0,2012,6,15,2015,3,15, Card I TYPE,2397,882,7002,1,1217,0,0,3,1020,15
1176,M1204,VALID,PRP,Open,Male,Eastern,RENTED,49.771,Three Full Years,4,0,7,0,0,3,0,2012,6,19,2015,3,19, Card II TYPE,3075,882,1124,1,6182,0,0,3,1016,11
1177,M1205,VALID,PRM,Open,Female,Eastern,RENTED,27.0,Three Full Years,5,0,7,0,0,3,0,2012,6,17,2015,3,17, Card II TYPE,2329,882,844,1,6474,0,0,3,1018,13
1178,M1206,VALID,CNN,Open,Female,Northern,BOUGHT,54.0,Three Full Years,4,0,21,0,0,3,0,2012,7,1,2015,3,13, Card II TYPE,2500,882,3256,1,127,0,0,3,1004,17
1179,M1207,VALID,KLA,Open,Female,Northern,RENTED,47.0,Three Full Years,4,6,12,0,0,3,0,2012,6,19,2015,3,19, Card II TYPE,222,882,5362,1,4070,0,0,3,1016,11
1180,M1209,VALID,PWR,Open,Female,Western,BOUGHT,40.0,Three Full Years,7,0,22,0,0,3,0,2012,7,3,2015,4,3, Card II TYPE,1873,882,3443,54,4195,0,0,3,1002,-3
1181,M1210,VALID,POP,Open,Female,Eastern,RENTED,47.886,Three Full Years,4,0,12,0,0,3,0,2012,6,16,2015,3,16, Card II TYPE,3220,882,2065,279,2962,0,0,3,1019,14
1182,M1212,VALID,PRP,Open,Female,Eastern,RENTED,45.3,Three Full Years,5,0,7,0,0,3,1,2012,6,23,2015,3,23, Card II TYPE,1633,252,6170,1,2731,0,0,3,1012,7
1183,M1213,VALID,PWR,Open,Female,Northern,RENTED,43.0,Three Full Years,4,0,12,0,1,1,1,2012,6,15,2015,3,15, Card II TYPE,2402,282,4595,403,4277,0,56,3,1020,15
1184,M1215,VALID,PWR,Open,Female,Northern,RENTED,28.0,Three Full Years,3,0,12,0,0,3,0,2012,6,20,2015,3,20,Paper based/Post,3164,882,4265,1,4663,0,0,3,1015,10
1185,M1216,VALID,PWR,Open,Male,Eastern,RENTED,65.0,Three Full Years,6,0,21,0,1,3,0,2012,6,28,2015,3,28, Card II TYPE,17,882,7393,1,4203,0,59,3,1007,2
1186,M1217,VALID,PWR,Open,Male,Western,RENTED,56.0475,Three Full Years,5,0,22,0,0,3,0,2012,7,5,2015,4,5, Card II TYPE,2726,882,25,1,5103,0,0,2,1000,-5
1187,M1219,VALID,PRP,Open,Male,Eastern,RENTED,42.0,Three Full Years,1,0,12,0,3,3,0,2012,6,23,2015,3,23, Card II TYPE,280,882,7492,614,4188,0,51,3,1012,7
1188,M1220,VALID,PWR,Open,Male,Northern,RENTED,20.0,Three Full Years,7,0,22,0,0,3,0,2012,6,20,2015,3,20, Card II TYPE,2404,882,4051,815,2936,0,0,3,1015,10
1189,M1221,VALID,PWR,Open,Male,Northern,RENTED,53.0,Three Full Years,4,0,7,0,1,2,1,2012,6,27,2015,3,27, Card II TYPE,3096,717,851,1,5596,0,7,3,1008,3
1190,M1222,VALID,KLA,Open,Male,Western,RENTED,36.0,Three Full Years,6,0,21,0,0,3,0,2012,6,26,2015,3,26, Card II TYPE,590,882,1670,1,3247,0,0,3,1009,4
1191,M1223,VALID,MXX,Open,Male,Northern,RENTED,41.0,Three Full Years,4,5,7,0,0,3,0,2012,6,21,2015,3,21, Card II TYPE,1049,882,7923,28,5977,0,0,3,1014,9
1192,M1224,VALID,PPL,Open,Female,Northern,RENTED,42.0,Three Full Years,3,0,7,0,3,3,0,2012,6,23,2015,3,23, Card II TYPE,2401,882,5922,670,5400,0,37,3,1012,7
1193,M1226,VALID,PWR,Open,Female,Western,RENTED,44.0,Three Full Years,4,14,21,0,0,3,0,2012,6,20,2015,3,20, Card II TYPE,2957,882,3811,1,6216,0,0,3,1015,10
1194,M1227,VALID,PWR,Open,Male,Northern,BOUGHT,62.0,Three Full Years,6,0,12,0,0,3,0,2012,6,26,2015,3,26, Card II TYPE,2020,882,1557,1,1059,0,0,3,1009,4
1195,M1228,VALID,PRM,Open,Male,Northern,RENTED,47.0,Three Full Years,3,0,7,1,0,3,0,2012,6,23,2015,3,23, Card II TYPE,1697,882,1967,1033,3249,0,0,3,1012,7
1196,M1229,VALID,KLA,Open,Male,Northern,RENTED,51.73857143,Three Full Years,5,0,17,0,1,3,0,2012,6,28,2015,3,28, Card II TYPE,240,882,6579,1,2059,0,15,3,1007,2
1197,M1231,VALID,KLA,Open,Female,Western,RENTED,50.0,Three Full Years,4,0,17,0,1,3,0,2012,6,23,2015,3,23, Card II TYPE,919,882,4778,1,5378,0,2,3,1012,7
1198,M1232,VALID,POP,Open,Female,Eastern,RENTED,47.0,Three Full Years,6,10,22,0,0,3,0,2012,6,23,2015,3,23, Card I TYPE,506,882,4240,1,3798,0,0,3,1012,7
1199,M1233,VALID,CNN,Open,Male,Western,BOUGHT,66.0,Three Full Years,6,5,22,0,3,2,0,2012,6,23,2015,3,23, Card II TYPE,2524,882,247,1,5218,0,49,2,1012,7
1200,M1234,VALID,PWR,Open,Male,Northern,RENTED,49.0,Three Full Years,3,0,12,0,0,3,0,2012,6,27,2015,3,27,Paper based/Post,38,882,4803,1,2125,0,0,3,1008,3
1201,M1235,VALID,MXX,Open,Female,Eastern,RENTED,61.0,Three Full Years,3,0,2,0,1,3,1,2012,6,26,2015,3,26, Card II TYPE,1059,136,4734,1,1249,0,35,3,1009,4
1202,M1236,VALID,KLA,Open,Female,Western,RENTED,49.0,Three Full Years,5,0,7,0,0,3,0,2012,6,28,2015,3,28, Card II TYPE,662,882,5294,459,3554,0,0,3,1007,2
1203,M1237,VALID,POP,Open,Female,Eastern,RENTED,62.0,Three Full Years,5,10,17,0,0,3,0,2012,6,26,2015,3,26, Card I TYPE,305,882,3762,1,980,0,0,3,1009,4
1204,M1238,VALID,PWM,Open,Female,Northern,RENTED,50.0,Three Full Years,4,0,12,0,0,3,0,2012,6,27,2015,3,27, Card II TYPE,854,882,5886,1,766,0,0,3,1008,3
1205,M1239,VALID,PWM,Open,Male,Western,RENTED,47.372,Three Full Years,5,0,7,0,0,3,0,2012,6,23,2015,3,23, Card II TYPE,547,882,8906,1115,6722,0,0,none,1012,7
1206,M1240,VALID,PWR,Open,Male,Northern,RENTED,40.0,Three Full Years,3,10,4,0,0,3,0,2012,7,10,2015,3,10, Card I TYPE,2362,882,1968,1,2371,0,0,3,995,20
1207,M1241,VALID,PRM,Closed,Male,Western,RENTED,36.0,Three Full Years,6,0,17,0,2,2,0,2012,6,28,2015,3,28, Card II TYPE,2379,882,413,448,2556,0,1,2,1007,2
1208,M1243,VALID,PPL,Open,Male,Eastern,RENTED,32.0,Three Full Years,4,20,4,1,2,3,0,2012,6,29,2015,3,29, Card II TYPE,3228,882,7583,702,4649,0,34,3,1006,1
1209,M1244,VALID,PWR,Open,Male,Northern,RENTED,57.0,Three Full Years,7,0,12,0,1,3,0,2012,6,28,2015,3,28, Card II TYPE,2331,882,2879,1,1152,0,37,3,1007,2
1210,M1245,VALID,POP,Open,Male,Northern,BOUGHT,48.0,Three Full Years,6,0,17,0,0,3,0,2012,6,28,2015,3,28, Card II TYPE,2987,882,5147,227,4824,0,0,3,1007,2
1211,M1246,VALID,KLA,Open,Female,Eastern,BOUGHT,55.0,Three Full Years,6,6,17,0,1,2,1,2012,6,29,2015,3,29, Card II TYPE,3299,776,7825,1,2817,0,12,3,1006,1
1212,M1247,VALID,PWR,Closed,Male,Northern,RENTED,59.0,Three Full Years,6,0,22,0,0,2,0,2012,6,30,2015,3,31, Card II TYPE,1053,882,8177,1,2483,0,0,1,1005,-1
