"","Address","Scheme","Staus","Gender","Region","Sale.of.Equipment.Status","Age","Equipment.Warranty","Salary.Slab","Professional.Info","Age.of.Home","Categ","Query_freq","Realization_monnos","Default_number","Commence_year","Commence_month","Commence_day","Warrenty_year","Warrenty_month","Warrenty_day","Cardtype","schemecost","defaultsum","Hours","Posthours","daraGB","Default","query_days","usage_number","query_days.1","usage_number.1","LevelPaymentSettlement","LevelTech","Account","PaymentSettlement","Browsing","OperationalCapabilities","GeneralInformation","NoBrowse","Payment","FullPayment","Redirected","Nosupport.ThirdParty","SlowBrowse","Utilities","ExplanationofCharges","Change","MultipleItems.EntireBill","UpdatePaymentInformation","GeneralInquiry","Retention","CommenceDays","Warrentydays"
"2361","VALID","PWR","Open","Female","Western","RENTED",44,"Three Full Years",5,19,7,0,1,"3",0,2013,3,23,2015,3,23," Card II TYPE",2383,882,5798,1,1314,0,4,"3",4,"3",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,7
"8437","VALID","PWP","Open","Female","Eastern","RENTED",54,"Three Full Years",6,0,22,0,0,"3",0,2012,3,28,2015,3,23," Card II TYPE",2715,882,3232,1,3740,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,7
"4466","INVALID","CHC","Open","Female","Eastern","RENTED",52,"Three Full Years",4,0,4,0,0,"3",0,2014,4,4,2016,4,4," Card II TYPE",2513,882,4709,883,6442,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,-369
"9371","VALID","PWM","Open","Male","Northern","BOUGHT",50.5985,"Three Full Years",4,0,7,1,0,"None",0,2012,9,5,2015,3,12,"None",3331,882,8906,1115,6722,1,0,"none",0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,940,18
"2725","VALID","PRP","Open","Male","Eastern","RENTED",45.05333333,"Three Full Years",3,0,4,0,1,"2",1,2013,6,18,2015,6,18," Card II TYPE",857,104,5634,1028,4807,0,14,"3",14,"3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,652,-78
"2678","INVALID","CNN","Open","Female","Eastern","RENTED",72,"Three Full Years",4,0,21,0,0,"3",0,2013,6,12,2015,6,12," Card II TYPE",352,882,2848,1,63,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,-72
"293","VALID","PWR","Open","Male","Western","RENTED",50,"Three Full Years",1,14,22,0,0,"2",0,2013,11,21,2016,4,2," Card II TYPE",1947,882,2651,1,6366,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,-367
"4353","VALID","CHC","Open","Female","Eastern","RENTED",48.13083333,"Three Full Years",4,0,12,0,0,"3",0,2014,3,21,2016,3,21," Card II TYPE",1926,882,2934,339,321,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,-356
"4941","VALID","PRM","Closed","Male","Western","RENTED",45.57610714,"Three Full Years",3,0,1,0,0,"None",0,2014,6,17,2016,6,26,"None",3331,882,8906,1115,6722,1,0,"none",0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,-451
"6143","VALID","PRM","Open","Male","Eastern","RENTED",38,"Three Full Years",3,0,12,0,0,"3",0,2014,10,19,2016,10,19," Card I TYPE",2948,882,5638,161,5650,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,-564
"9438","VALID","PRP","Open","Female","Northern","RENTED",59,"Three Full Years",5,0,22,0,0,"3",0,2014,3,11,2016,3,23," Card II TYPE",385,882,2902,1,1606,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,-358
"4053","INVALID","PRM","Open","Male","Northern","BOUGHT",76,"Three Full Years",4,0,22,0,3,"3",0,2014,1,29,2016,1,29,"Paper based/Post",2841,882,4107,113,5798,0,45,"3",45,"3",3,0,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,426,-304
"690","VALID","ESS","Open","Male","Northern","RENTED",45.47592857,"Three Full Years",3,0,4,0,1,"3",0,2014,1,2,2015,3,9,"Paper based/Post",1587,882,8819,1,6125,0,83,"3",83,"3",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,453,21
"2151","VALID","MXX","Open","Female","Eastern","RENTED",58,"Three Full Years",3,6,22,0,0,"3",0,2013,2,28,2015,3,28," Card II TYPE",953,882,3636,1,617,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,2
"7238","VALID","PPL","Open","Female","Northern","RENTED",46.33333333,"Three Full Years",2,0,7,0,3,"2",0,2015,2,18,2017,2,18,"Paper based/Post",1573,882,8809,1,3540,0,25,"2",25,"2",2,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,42,-688
"9663","VALID","PWR","Open","Female","Western","RENTED",41,"Three Full Years",6,0,7,0,0,"3",0,2013,11,13,2016,3,20," Card II TYPE",2735,882,7548,622,3323,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,-355
"6972","INVALID","PPL","Open","Male","Northern","RENTED",58,"Three Full Years",4,0,21,0,0,"3",0,2015,1,18,2017,1,18," Card II TYPE",1115,882,954,1,2326,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,-658
"7831","VALID","PWR","Open","Female","Eastern","BOUGHT",34,"Three Full Years",5,0,12,0,0,"3",0,2012,10,28,2015,3,23," Card II TYPE",1873,882,4257,292,2945,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,887,7
"5398","VALID","PPL","Open","Female","Northern","RENTED",53,"Three Full Years",4,0,12,0,0,"2",0,2014,8,2,2016,8,2," Card II TYPE",1896,882,1100,1,5876,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,-487
"4037","VALID","PRR","Open","Male","Northern","RENTED",58,"Three Full Years",5,10,21,0,0,"3",1,2014,2,5,2016,2,5," Card II TYPE",88,797,7399,247,421,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420,-310
"1553","INVALID","CNN","Open","Male","Northern","RENTED",40,"Three Full Years",5,8,17,0,0,"3",0,2012,9,26,2015,3,26," Card II TYPE",1967,882,7151,1,723,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,919,4
"5894","VALID","PRR","Open","Female","Northern","RENTED",67,"Three Full Years",3,5,17,0,1,"3",0,2014,9,25,2016,9,25," Card II TYPE",1896,882,4320,1,945,0,76,"3",76,"3",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,190,-540
"704","VALID","PWR","Open","Male","Northern","RENTED",37,"Three Full Years",3,14,21,0,0,"3",0,2011,12,12,2015,3,12," Card II TYPE",1964,882,5041,296,3940,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,18
"8928","VALID","CHC","Open","Female","Northern","RENTED",59,"Three Full Years",5,5,21,0,0,"2",0,2014,3,11,2016,3,31," Card II TYPE",1696,882,2612,397,5445,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,-366
"7734","VALID","PRM","Open","Male","Eastern","RENTED",44,"Three Full Years",7,10,22,0,0,"3",0,2014,1,30,2016,4,4," Card II TYPE",2120,882,5478,1,414,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,-369
"6984","VALID","PPL","Open","Male","Northern","RENTED",36,"Three Full Years",6,0,21,0,0,"3",0,2015,1,24,2017,1,24," Card II TYPE",809,882,710,1,3748,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,-664
"5917","VALID","KLA","Open","Female","Northern","RENTED",38,"Three Full Years",6,0,17,0,6,"2",1,2014,9,30,2016,9,30," Card II TYPE",3186,327,2381,721,68,0,53,"3",53,"3",2,4,2,0,4,4,1,4,0,0,0,0,0,0,0,0,0,1,0,0,185,-545
"1023","VALID","PWR","Open","Female","Western","RENTED",51,"Three Full Years",5,0,12,0,0,"3",0,2012,4,15,2015,3,15," Card II TYPE",2915,882,2373,1,962,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080,15
"4913","VALID","PRM","Open","Female","Eastern","RENTED",38,"Three Full Years",4,0,1,0,1,"3",0,2014,6,4,2016,6,4," Card II TYPE",2375,882,5167,439,2648,0,28,"3",28,"3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,301,-429
"8175","VALID","PWM","Open","Female","Northern","BOUGHT",45,"Three Full Years",7,5,12,0,0,"3",0,2012,7,7,2015,4,3," Card II TYPE",3094,882,4777,746,4010,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,998,-3
"5082","VALID","KLA","Open","Male","Northern","RENTED",40,"Three Full Years",1,6,1,0,0,"3",0,2014,6,24,2016,6,24," Card II TYPE",157,882,6434,625,6294,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,-449
"2255","VALID","PWR","Open","Male","Western","RENTED",34,"Three Full Years",3,0,7,0,0,"3",0,2013,3,6,2015,3,6," Card II TYPE",2340,882,5482,1,2683,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754,24
"526","VALID","POP","Open","Female","Northern","RENTED",74,"Three Full Years",3,0,12,0,0,"3",0,2011,10,3,2015,4,3," Card II TYPE",42,882,6647,315,3338,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,-3
"597","VALID","PWR","Open","Female","Eastern","RENTED",63,"Three Full Years",1,14,22,0,1,"3",0,2011,11,4,2015,4,4," Card II TYPE",2099,882,1739,1,51,0,16,"3",16,"3",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1246,-4
"7210","VALID","PPL","Open","Female","Eastern","BOUGHT",47,"Three Full Years",4,20,1,0,0,"2",0,2015,2,14,2017,2,14," Card II TYPE",1294,882,52,515,6233,0,0,"2",0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,-684
"2995","INVALID","PWR","Open","Male","Northern","RENTED",33,"Three Full Years",3,0,7,0,0,"3",0,2013,8,15,2015,8,15," Card II TYPE",2352,882,8405,1,4438,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,595,-135
"7803","VALID","PRR","Open","Male","Eastern","RENTED",60,"Three Full Years",6,5,22,0,0,"3",0,2011,10,14,2015,3,30," Card II TYPE",3195,882,7392,1,3141,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,0
"9868","VALID","PWR","Open","Male","Northern","RENTED",56,"Three Full Years",3,0,17,0,1,"2",1,2013,7,30,2015,7,2," Card II TYPE",2392,769,6112,1,2762,0,76,"3",76,"3",0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,610,-92
"9134","VALID","PWR","Open","Male","Western","RENTED",60,"Three Full Years",6,0,12,0,3,"3",0,2012,1,26,2015,3,20,"Paper based/Post",2500,882,1121,1,1588,0,16,"3",16,"3",2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1159,10
"7818","VALID","PWP","Open","Female","Northern","RENTED",63,"Three Full Years",8,18,17,0,0,"3",0,2011,12,31,2015,3,23," Card II TYPE",2854,882,1745,1,1755,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1189,7
"906","VALID","PWR","Open","Female","Northern","RENTED",62,"Three Full Years",1,14,12,0,0,"3",0,2012,2,24,2015,3,24," Card II TYPE",2398,882,612,1,5325,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,6
"6753","VALID","PPL","Open","Male","Northern","RENTED",42.53416667,"Three Full Years",4,0,7,0,1,"3",0,2014,12,26,2016,12,26," Card II TYPE",239,882,2569,255,3515,0,58,"3",58,"3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,-631
"3112","VALID","CNN","Open","Male","Northern","RENTED",29,"Three Full Years",2,6,7,1,0,"3",0,2013,9,4,2015,9,4," Card II TYPE",2976,882,2418,1,1021,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,-154
"4589","VALID","KLA","Open","Male","Eastern","RENTED",40.7585,"Three Full Years",4,0,2,1,2,"2",1,2014,4,23,2016,5,3," Card II TYPE",222,825,854,401,441,0,44,"3",44,"3",1,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,342,-398
"2588","VALID","PPL","Open","Male","Northern","RENTED",36,"Three Full Years",3,5,4,0,0,"3",0,2013,5,17,2015,5,17," Card II TYPE",3089,882,3880,447,2810,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,-47
"679","VALID","PRM","Open","Female","Western","RENTED",47,"Three Full Years",4,0,12,0,0,"3",2,2011,12,7,2015,3,7," Card II TYPE",1975,369,6219,913,6616,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1213,23
"6428","VALID","PRP","Open","Male","Northern","RENTED",30,"Three Full Years",8,0,12,0,1,"3",0,2014,11,20,2016,11,20," Card II TYPE",126,882,7041,955,5777,0,83,"3",83,"3",1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,135,-595
"1593","VALID","CNN","Open","Female","Northern","RENTED",63,"Three Full Years",2,0,12,0,0,"3",0,2012,9,29,2015,3,29," Card II TYPE",2640,882,6217,1,5706,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916,1
"5402","VALID","PPL","Open","Male","Southern","RENTED",46.37716667,"Three Full Years",3,0,1,0,1,"3",0,2014,8,5,2016,8,5," Card II TYPE",1930,882,4819,269,497,0,23,"3",23,"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,-490
"8419","VALID","PPL","Open","Male","Northern","RENTED",34,"Three Full Years",7,5,21,0,1,"3",0,2011,11,16,2015,3,8," Card I TYPE",1206,882,5077,271,2838,0,8,"3",8,"3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1234,22
"9451","VALID","PPL","Open","Male","Northern","RENTED",60,"Three Full Years",5,0,22,0,7,"3",0,2013,11,5,2016,3,29,"Paper based/Post",3081,882,1430,1,2418,0,63,"3",63,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515,-364
"8193","VALID","CHC","Open","Female","Northern","RENTED",28,"Three Full Years",3,0,12,0,1,"3",0,2014,1,30,2016,3,27," Card II TYPE",1695,882,7856,1103,3300,0,77,"3",77,"3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,-362
"3679","VALID","PRR","Open","Male","Eastern","RENTED",50,"Three Full Years",4,5,2,0,0,"3",0,2013,12,15,2015,12,15," Card II TYPE",3209,882,7524,957,2654,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,-255
"259","VALID","PWR","Open","Male","Eastern","RENTED",36,"Three Full Years",3,0,4,0,0,"3",0,2013,6,29,2015,3,8," Card II TYPE",2099,882,7053,873,5136,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,641,22
"7715","VALID","PPL","Open","Male","Eastern","RENTED",43.42383333,"Three Full Years",2,0,7,0,0,"None",0,2015,4,4,2017,4,4,"None",3331,882,8906,1115,6722,1,0,"none",0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,-734
"7170","VALID","PPL","Open","Female","Northern","RENTED",53,"Three Full Years",6,5,21,0,2,"2",0,2015,2,10,2017,2,10,"Paper based/Post",1573,882,11,426,866,0,28,"2",28,"2",2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,50,-680
"8912","VALID","PWR","Open","Male","Northern","RENTED",60,"Three Full Years",5,0,17,0,0,"3",0,2012,1,23,2015,3,25," Card II TYPE",1896,882,8562,1,6307,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1162,5
"2461","VALID","CNN","Open","Male","Northern","RENTED",58,"Three Full Years",6,0,17,0,0,"3",0,2013,4,18,2015,4,18," Card II TYPE",2036,882,1,1,1,0,0,"1",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,-18
"6661","VALID","PPL","Open","Male","Northern","RENTED",52,"Three Full Years",4,0,22,0,0,"3",0,2014,12,17,2016,12,17," Card II TYPE",1933,882,2148,735,2052,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,-622
"7835","VALID","POP","Open","Female","Eastern","RENTED",39,"Three Full Years",6,0,21,1,0,"3",0,2011,11,22,2015,3,26," Card II TYPE",65,882,6764,1,3610,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1228,4
"7010","INVALID","PPL","Open","Male","Northern","RENTED",42.65583333,"Three Full Years",3,0,4,0,0,"3",0,2015,1,23,2017,1,23," Card II TYPE",1541,882,772,414,4953,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,-663
"1048","VALID","PPL","Open","Male","Northern","RENTED",48,"Three Full Years",4,10,17,0,0,"3",0,2012,4,19,2015,3,19," Card II TYPE",2593,882,4638,1081,2312,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1076,11
"7970","VALID","KLA","Open","Female","Northern","BOUGHT",42,"Three Full Years",5,0,22,0,0,"3",0,2014,3,29,2016,3,30," Card I TYPE",2681,882,6452,1,2907,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,-365
"4582","VALID","PRM","Open","Male","Eastern","RENTED",20,"Three Full Years",4,0,2,0,0,"3",0,2014,4,22,2016,4,22," Card II TYPE",2329,882,4853,583,3803,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,-387
"45","VALID","CHC","Open","Male","Western","Second Hand",42,"Three Full Years",7,0,17,0,0,"None",0,2015,1,12,2017,1,25,"None",3331,882,2026,1,2456,1,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,-665
"1117","VALID","PRM","Open","Male","Eastern","RENTED",35,"Three Full Years",7,8,12,0,1,"3",0,2012,5,26,2015,3,26," Card II TYPE",2699,882,5774,100,5599,0,87,"3",87,"3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,4
"49","VALID","CHC","Open","Female","Eastern","Second Hand",59,"Three Full Years",4,0,12,0,0,"None",0,2015,3,13,2017,3,13,"None",3331,882,8390,1,2952,1,0,"1",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-713
"6715","INVALID","CHC","Open","Female","Northern","RENTED",46.945,"Three Full Years",3,0,4,0,1,"1",2,2014,12,23,2016,12,23," Card II TYPE",1855,211,542,619,4707,0,48,"3",48,"3",0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,102,-628
"9365","VALID","PWR","Open","Female","Western","RENTED",40,"Three Full Years",6,0,12,0,0,"3",0,2011,11,17,2015,3,12," Card II TYPE",1950,882,7769,1,2006,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1233,18
"7652","VALID","KLA","Open","Female","Northern","RENTED",37,"Three Full Years",4,0,21,0,0,"1",0,2015,3,26,2017,3,26," Card II TYPE",3167,882,1856,1,1752,0,0,"1",0,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-726
"9844","VALID","PWR","Open","Male","Eastern","RENTED",63,"Three Full Years",6,0,22,0,0,"3",0,2012,7,5,2015,3,11," Card II TYPE",2234,882,7871,1,1020,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,19
"8007","VALID","PRR","Open","Male","Eastern","BOUGHT",52,"Three Full Years",9,8,21,0,0,"3",0,2013,9,9,2015,8,19," Card II TYPE",2807,882,3117,1,2765,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,-139
"6768","VALID","PPL","Open","Male","Eastern","RENTED",28,"Three Full Years",3,0,2,0,1,"3",0,2014,12,29,2016,12,29," Card II TYPE",2374,882,6363,522,4669,0,65,"3",65,"3",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,-634
"6469","VALID","PRM","Open","Female","Northern","BOUGHT",40.54142857,"Three Full Years",2,0,7,0,0,"3",0,2014,11,25,2016,11,25," Card II TYPE",342,882,4770,633,974,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,-600
"5116","VALID","PPL","Open","Male","Eastern","RENTED",70,"Three Full Years",3,0,1,0,0,"3",0,2014,7,4,2016,7,4," Card II TYPE",2556,882,3217,1,1438,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,-459
"7944","VALID","PWR","Open","Male","Southern","BOUGHT",50.79,"Three Full Years",6,0,1,0,0,"3",0,2013,5,25,2015,5,6," Card II TYPE",1873,882,8906,1115,6722,0,0,"none",0,"none",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,675,-36
"4105","VALID","PRM","Open","Female","Southern","RENTED",36,"Three Full Years",5,0,2,0,0,"3",0,2014,2,6,2016,2,6," Card II TYPE",1915,882,8158,1,1236,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,-311
"7338","VALID","PPL","Open","Female","Western","RENTED",49,"Three Full Years",4,5,17,0,0,"2",0,2015,2,26,2017,2,26," Card II TYPE",203,882,8690,1,4178,0,0,"2",0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,-696
"3293","VALID","CNN","Open","Male","Eastern","RENTED",49.19,"Three Full Years",3,0,12,0,1,"3",0,2013,10,3,2015,10,3," Card II TYPE",1895,882,7792,1,4941,0,59,"3",59,"3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,547,-183
"8883","VALID","KLA","Open","Male","Northern","BOUGHT",57,"Three Full Years",9,6,22,0,0,"2",0,2012,12,4,2015,3,31," Card II TYPE",3168,882,4793,1,2402,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,851,-1
"7680","VALID","PPL","Open","Female","Eastern","RENTED",36,"Three Full Years",4,0,1,0,1,"1",0,2015,3,28,2017,3,28,"Paper based/Post",2307,882,208,1,2426,0,1,"1",1,"1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,-728
"5608","VALID","PRM","Open","Male","Northern","RENTED",49,"Three Full Years",2,0,1,0,0,"3",1,2014,8,21,2016,8,21," Card II TYPE",2398,516,7725,248,440,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,-506
"150","VALID","KLA","Open","Male","Northern","BOUGHT",51,"Three Full Years",6,13,12,0,0,"None",0,2012,12,8,2015,4,2,"None",3331,882,5823,863,5027,1,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,-2
"1358","VALID","KLA","Open","Female","Western","RENTED",51,"Three Full Years",5,0,7,0,0,"3",0,2012,8,9,2015,3,9," Card II TYPE",926,882,5771,1,6314,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966,21
"4068","VALID","PRR","Open","Male","Eastern","RENTED",63,"Three Full Years",10,5,22,0,0,"2",0,2014,2,1,2016,2,1," Card II TYPE",895,882,6140,315,3011,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,-306
"3499","VALID","PWR","Open","Male","Eastern","RENTED",27,"Three Full Years",3,0,12,0,0,"3",0,2013,11,13,2015,11,13," Card II TYPE",2948,882,1938,1,1477,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,-223
"8136","VALID","PRR","Open","Male","Eastern","RENTED",43,"Three Full Years",8,9,22,0,0,"3",0,2014,2,1,2016,3,7," Card II TYPE",2806,882,6572,369,3546,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,-342
"7290","VALID","PPL","Open","Female","Eastern","RENTED",20,"Three Full Years",4,0,12,0,0,"2",0,2015,2,21,2017,2,21," Card II TYPE",1912,882,8723,1,6196,0,0,"2",0,"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,-691
"2835","VALID","PRR","Open","Female","Eastern","RENTED",50,"Three Full Years",4,0,4,0,0,"3",0,2013,7,14,2015,7,14," Card II TYPE",35,882,7862,566,4967,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,-104
"5787","VALID","PRM","Open","Male","Eastern","RENTED",69,"Three Full Years",3,20,21,0,0,"3",0,2014,9,10,2016,9,10," Card II TYPE",2367,882,2783,1,3953,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,-525
"7449","VALID","PPL","Open","Male","Northern","RENTED",48,"Three Full Years",6,0,21,0,1,"1",0,2015,3,10,2017,3,10," Card II TYPE",2307,882,8452,1,46,0,21,"1",21,"1",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-710
"5543","VALID","MXX","Closed","Female","Eastern","RENTED",35,"Three Full Years",1,0,2,1,4,"1",2,2014,8,14,2016,8,14," Card II TYPE",402,218,2094,706,4525,0,37,"3",37,"3",3,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,231,-499
"8944","VALID","PWR","Open","Male","Eastern","RENTED",26,"Three Full Years",4,0,12,0,0,"3",0,2012,8,5,2015,3,14," Card II TYPE",2356,882,5153,1,1840,0,0,"3",0,"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,970,16
"1226","VALID","PRP","Open","Male","Eastern","RENTED",44.02,"Three Full Years",3,0,7,0,5,"2",0,2012,7,1,2015,3,31," Card II TYPE",303,882,3931,753,5946,0,42,"3",42,"3",0,5,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1004,-1
